symbol,exchange,decision,confidence,entry_style,price,entry_low,entry,entry_high,stop_loss,risk_pct,tp1,tp2,rr_tp1,rr_headroom,size_hint,nearest_support,nearest_resist,levels_used,flags,skip
C32,HSX,BUY,MEDIUM,PULLBACK,14.75,,,,,13.89,,,,,NO_TRADE,13.12,14.93,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr",SKIP_WIDE_STOP,wide_stop
GMD,HSX,BUY,HIGH,BREAKOUT,76.1,75.9,76.1,76.1,72.4,4.86,78.9,81.4,0.76,0.24,FULL,75.0,77.0,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","CONSENSUS_BULL,TP1_PULLED_BACK,TP_NEAR_CEILING,TIGHT_HEADROOM",
BSR,HSX,BUY,MEDIUM,PULLBACK,28.9,28.65,28.7,28.9,27.9,2.79,29.85,30.75,1.44,0.5,HALF,28.68,29.1,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM",
CRE,HSX,BUY,MEDIUM,PULLBACK,7.4,7.24,7.24,7.4,7.11,1.8,7.43,7.65,1.46,2.15,HALF,7.24,7.52,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr",TP2_FORCED_GAP,
ITC,HSX,BUY,MEDIUM,PULLBACK,12.55,12.5,12.5,12.55,12.25,2.0,12.85,13.25,1.4,1.0,HALF,12.5,12.75,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM",
