symbol,date,net_value,type,updated_at
VPB,2026-05-21,261.04,BUY,2026-05-21 18:15
VCB,2026-05-21,163.36,BUY,2026-05-21 18:15
LPB,2026-05-21,62.41,BUY,2026-05-21 18:15
MSB,2026-05-21,50.88,BUY,2026-05-21 18:15
SHB,2026-05-21,16.46,BUY,2026-05-21 18:15
VPI,2026-05-21,14.41,BUY,2026-05-21 18:15
SSI,2026-05-21,11.09,BUY,2026-05-21 18:15
VPL,2026-05-21,9.37,BUY,2026-05-21 18:15
MBS,2026-05-21,7.48,BUY,2026-05-21 18:15
VJC,2026-05-21,7.06,BUY,2026-05-21 18:15
