symbol,date,net_value,type,updated_at
VIC,2026-05-21,-354.02,SELL,2026-05-21 11:58
FPT,2026-05-21,-247.04,SELL,2026-05-21 11:58
VHM,2026-05-21,-146.31,SELL,2026-05-21 11:58
MBB,2026-05-21,-95.59,SELL,2026-05-21 11:58
CTG,2026-05-21,-46.19,SELL,2026-05-21 11:58
TCB,2026-05-21,-44.39,SELL,2026-05-21 11:58
GEX,2026-05-21,-37.41,SELL,2026-05-21 11:58
BID,2026-05-21,-37.17,SELL,2026-05-21 11:58
PVD,2026-05-21,-31.97,SELL,2026-05-21 11:58
VNM,2026-05-21,-26.78,SELL,2026-05-21 11:58
