symbol,group,exchange,time,date,snap_time,price,price_type,price_date,ema20,ema50,adx,supertrend,ema200,ema_cross_pct,price_vs_ema20_pct,price_vs_ema200_pct,rsi,macd,macd_sig,macd_hist,stoch_k,stoch_d,bb_lower,bb_mid,bb_upper,atr,bb_position,atr_pct,obv,cmf,mfi,vol_ma_ratio,vol_today,vol_avg_20d,high_52w,low_52w,roc_10,return_20d,ff_room,ff_room_max_pct,ff_room_raw,ff_total_room_raw,ff_buy_val_5d,ff_sell_val_5d,ff_net_val_5d,ff_net_val_20d,pt_net_val_5d,pt_net_val_20d,pt_trend,insider_buy_count,insider_sell_count,insider_count,insider_latest,insider_name,r_period,r_pe,r_pb,r_roe,r_roa,r_eps,r_bvps,r_beta,r_div_yield,r_gross_margin,r_net_margin,r_quick_ratio,r_interest_cov,r_ev_ebitda,is_revenue,is_gross_profit,is_net_profit,is_operating_profit,is_eps,is_rev_growth,is_profit_growth,is_rev_growth_yoy,is_profit_growth_yoy,eps_consistency,bs_total_assets,bs_equity,bs_total_liab,bs_short_debt,bs_long_debt,bs_debt_to_equity,cf_operating,cf_investing,cf_financing,cf_free,cf_quality_ratio,finance_score,finance_score_fund,finance_score_cf,finance_score_growth,industry,icb_code,vnindex_return_20d,vnindex_return_5d,ff_trend,ff_consistency,ff_acceleration,ff_data_invalid,market_valuation,trend_score,momentum_score,volume_score,volatility_score,order_flow_score,depth_score,ff_score,fundamental_score,cf_score,growth_score,context_score,news_score,confluence_bonus,tech_score,fund_score,news_industry,news_mention,news_macro,total_score,decision,confidence,signals,base_score_v2,scoring_version,ext_rs_score,ext_52w_score,ext_roc_score,ext_nr7_score,ext_ba_score,ext_room_score,ext_fv_score,ext_div_score,ext_eps_score,ext_prop_score,ext_insider_score,ext_breadth_score,ext_signals,smart_money_score,norm_smart_money,norm_trend,norm_momentum,norm_volume,norm_volatility,norm_order_flow,norm_depth,norm_ff,norm_fundamental,norm_cf,norm_growth,norm_context,w_trend,w_momentum,w_volume,w_order_flow,w_ff,w_fundamental,w_cf,w_growth,chg_pct_1d,chg_abs_vnd,accumulated_value,updated_at,news_evidence,pattern_flags
CTS,GAINER,HSX,2026-06-15 15:36,2026-06-15,15:36,22.95,last_close,2026-06-15,21.55,21.69,13.02,20.39,25.07,-0.65,6.5,-8.46,64.63,0.07,0.08,-0.01,57.95,39.2,20.62,21.58,22.54,0.69,1.0,3.01,27672479.0,-0.06,60.63,2.29,1721400.0,752390.0,36.6,19.1,5.66,2.68,0.0,49.0,102839909.0,104219784.0,,,,,-158500000.0,-437000000.0,0.01,1.0,0.0,1.0,Mua,nan,2026-Q1,10.34,2.47,0.89,5.24,3206.31,13425.13,1.64,0.0,50.93,6.29,,,0.0,,335784.78,,,,,,,,,12410698.82,,9534204.2,,,,-1649039.9,-10137.33,2092361.82,-1659177.23,,-6.0,4.0,-10.0,0.0,Dịch vụ tài chính,8700,-6.67,0.49,,,,True,FAIR,-5,-7,7,-5,3,0,0,4,0,0,-2,-0.05,0,-3,10,0.02,0.0,-0.07,3.76,NEUTRAL,MEDIUM,EMA20<EMA50 -15 | Price -8%<EMA200 (below) +5 | ADX=13.02 sideways 0 | ST=20.39 bullish +5 | MACD hist=-0.01<0 -10 | Stoch K>39.2 cross up +3 | MFI=60.63 strong inflow +6 | OBV divergence -4 | Vol=2.29x avg breakout +5 | BB pos=1.0 near upper (overbought) -5 | OF vol+154% buy 0.63 | PE=10.34 cheap +7 | PB=2.47 neutral 0 | ROE=0.89% weak -3 | CFO=-1649039897 (sector-skip) 0 | Market FAIR+downtrend -2 | News NEUTRAL -0.05 [Chứng khoán 2-6: Nên làm gì khi thị trườ... · tuoitre ·  2026],3.76,v2,4,-3,3,0,0,3,6,0,0,0,3,0,RS=1.10(▲) +4 | 52W_hi=-37.3% -3 | ROC10=+5.7% +3 | NR=N compress=2.71 +0 | FFroom=48.4% +3 | FairVal=+45%(PE×EPS=41682) +6 | PropTrade=-0.2tỷ(5d) +0 | Insider=B1/S0(90d) net=+1 +3,3,0.15,-0.09,-0.15,0.35,-0.62,0.3,0.0,0.11,0.34,0.0,0.0,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,6.99,1500,38.75,2026-06-15 15:37,industry·tuoitre·Chứng khoán 2-6: Nên làm gì khi thị trườ·02 Jun 2026 | industry·vietstock·Thủ tướng: TPHCM phải xử lý dứt điểm dự ·14 Jun 2026 | macro·petrotimes·Nhận định thị trường chứng khoán ngày 27·27 May 2026,
HID,GAINER,HSX,2026-06-15 15:37,2026-06-15,15:36,4.44,last_close,2026-06-15,4.29,4.49,9.94,4.67,4.52,-4.45,3.5,-1.77,54.02,-0.08,0.03,-0.1,48.33,38.53,4.02,4.26,4.5,0.2,0.87,4.5,5170400.0,-0.21,41.56,2.26,815400.0,361370.0,11.9,2.5,8.56,-7.5,0.0,49.0,37428045.0,37614865.0,,,,,,,,16.0,4.0,20.0,Mua,Nguyễn Cẩm Lê,2026-Q1,9.17,0.26,-1.81,1.48,363.03,12878.0,0.5,0.0,-9.91,-30.89,2.12,-2.58,35.4,120977.61,15082.99,-14822.49,-29382.46,,-0.01,-28.3,-0.01,-28.3,-1.0,1981232.71,988474.7,992758.01,181534.08,597773.16,1.0,447413.08,-514229.47,78479.75,-66816.4,82.12,18.0,12.0,10.0,-4.0,Xây dựng và Vật liệu,2300,-6.67,0.49,,,,True,FAIR,-20,-2,9,-5,0,0,0,12,10,-4,-2,-0.04,0,-20,17,0.03,0.0,-0.07,-0.22,NEUTRAL,MEDIUM,EMA20<EMA50 -15 | ADX=9.94 sideways 0 | ST=4.67 bearish -5 | RSI=54.02 neutral +5 | MACD hist=-0.1<0 -10 | Stoch K>38.53 cross up +3 | CMF=-0.21 outflow (oversold) +8 | OBV divergence -4 | Vol=2.26x avg breakout +5 | BB pos=0.87 near upper (overbought) -5 | PE=9.17 very cheap +10 | PB=0.26 below book +5 | ROE=-1.81% weak -3 | D/E=1.004 moderate 0 | CFO>0 real cash +5 | CF quality=82.12 high +5 | RevG-YoY=-0.5% slight decline -1 | ProfitG-YoY=-2830.3% declining -3 | Market FAIR+downtrend -2 | News NEUTRAL -0.04 [Nghị quyết 09 xác lập các trụ cột để TPH... · vietstock ·  2026],-0.22,v2,0,-5,3,0,0,3,0,0,-1,0,5,0,RS=0.99(─) +0 | 52W_hi=-62.7% -5 | ROC10=+8.6% +3 | NR=N compress=1.50 +0 | FFroom=48.8% +3 | FairVal=+6%(PE×EPS=4719) +0 | EPScons=-1qtrs -1 | Insider=B16/S4(90d) net=+12 +5,5,0.25,-0.56,0.04,0.45,-0.62,0.0,0.0,0.11,0.41,1.0,-0.33,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,6.99,290,3.57,2026-06-15 15:37,industry·vietstock·Nghị quyết 09 xác lập các trụ cột để TPH·26 May 2026 | industry·nld·Phát huy vai trò của HĐND trong xây dựng·28 May 2026 | macro·petrotimes·Nhận định thị trường chứng khoán ngày 27·27 May 2026,
TCX,GAINER,HSX,2026-06-15 15:37,2026-06-15,15:36,40.75,last_close,2026-06-15,40.4,41.56,23.3,41.61,,-2.79,0.87,,49.83,-0.92,-0.14,-0.78,18.68,10.44,37.48,40.87,44.26,1.19,0.48,2.92,10858811.0,-0.17,26.08,1.68,1980200.0,1181870.0,53.45,34.72,-1.81,-3.16,0.0,100.0,2094162289.0,2311583496.0,,,,,,,,2.0,1.0,3.0,Mua,Quách Thuỳ Linh,2026-Q1,19.11,2.46,3.77,8.01,2458.92,19079.92,0.0,0.0,86.21,48.53,,,0.0,,2440896.14,,,,,,,,,80632257.0,,35016932.28,,,,-20564385.95,-293444.85,21101307.98,-20857830.8,,-10.0,0.0,-10.0,0.0,Dịch vụ tài chính,8700,-6.67,0.49,,,,True,FAIR,-20,3,1,0,0,0,0,0,0,0,-2,-0.05,0,-19,-3,0.02,0.0,-0.07,-7.67,NEUTRAL,LOW,EMA20<EMA50 -15 | ST=41.61 bearish -5 | RSI=49.83 neutral +5 | MACD hist=-0.78<0 -10 | Stoch K=18.68 oversold +5 | Stoch K>10.44 cross up +3 | CMF=-0.17 outflow (oversold) +8 | MFI=26.08 weak -6 | OBV divergence -4 | Vol=1.68x avg elevated +3 | PE=19.11 fair +3 | PB=2.46 neutral 0 | ROE=3.77% weak -3 | CFO=-20564385948 (sector-skip) 0 | Market FAIR+downtrend -2 | News NEUTRAL -0.05 [Chứng khoán 2-6: Nên làm gì khi thị trườ... · tuoitre ·  2026],-7.67,v2,0,-3,0,0,0,3,-3,0,0,0,3,0,RS=1.04(─) +0 | 52W_hi=-23.8% -3 | ROC10=-1.8% +0 | NR=N compress=2.12 +0 | FFroom=90.6% +3 | FairVal=-27%(PE×EPS=31966) -3 | Insider=B2/S1(90d) net=+1 +3,3,0.15,-0.51,0.12,0.05,0.0,0.0,0.0,0.11,-0.1,0.0,0.0,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,6.96,2650,79.25,2026-06-15 15:37,industry·tuoitre·Chứng khoán 2-6: Nên làm gì khi thị trườ·02 Jun 2026 | industry·vietstock·Thủ tướng: TPHCM phải xử lý dứt điểm dự ·14 Jun 2026 | macro·petrotimes·Nhận định thị trường chứng khoán ngày 27·27 May 2026,UNCLEAR
VPX,GAINER,HSX,2026-06-15 15:36,2026-06-15,15:36,27.15,last_close,2026-06-15,26.69,27.52,24.98,27.17,,-3.02,1.72,,52.44,-0.5,-0.01,-0.49,33.33,22.95,25.31,26.82,28.34,0.65,0.61,2.39,16321900.0,-0.25,23.54,1.73,1502000.0,869070.0,34.5,25.2,-0.73,-2.16,0.0,100.0,1793356192.0,1875000000.0,,,,,18080190000.0,18080190000.0,,,,,,,2026-Q1,15.66,1.65,3.53,6.49,1903.53,18043.22,0.0,0.0,76.37,38.91,,,0.0,,930963.78,,,,,,,,,73017077.47,,39040640.71,,,,-35041717.54,-15774.43,40826194.45,-35057491.97,,-7.0,3.0,-10.0,0.0,Dịch vụ tài chính,8700,-6.67,0.49,,,,True,FAIR,-20,-2,1,0,8,0,0,3,0,0,-2,-0.05,0,-16,3,0.02,0.0,-0.07,-1.41,NEUTRAL,LOW,EMA20<EMA50 -15 | ST=27.17 bearish -5 | RSI=52.44 neutral +5 | MACD hist=-0.49<0 -10 | Stoch K>22.95 cross up +3 | CMF=-0.25 outflow (oversold) +8 | MFI=23.54 weak -6 | OBV divergence -4 | Vol=1.73x avg elevated +3 | OF pattern=SPIKE_BUY +5 | OF vol+114% buy 0.71 | PE=15.66 fair +3 | PB=1.65 fair +3 | ROE=3.53% weak -3 | CFO=-35041717538 (sector-skip) 0 | Market FAIR+downtrend -2 | News NEUTRAL -0.05 [Chứng khoán 2-6: Nên làm gì khi thị trườ... · tuoitre ·  2026],-1.41,v2,0,-3,0,0,0,3,0,0,0,5,0,0,RS=1.05(─) +0 | 52W_hi=-21.3% -3 | ROC10=-0.7% +0 | NR=N compress=1.96 +0 | FFroom=95.7% +3 | FairVal=-10%(PE×EPS=24746) +0 | PropTrade=+18.1tỷ(5d) +5,5,0.25,-0.51,-0.08,0.05,0.0,0.8,0.0,0.11,0.1,0.0,0.0,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,6.89,1750,40.14,2026-06-15 15:37,industry·tuoitre·Chứng khoán 2-6: Nên làm gì khi thị trườ·02 Jun 2026 | industry·vietstock·Thủ tướng: TPHCM phải xử lý dứt điểm dự ·14 Jun 2026 | macro·petrotimes·Nhận định thị trường chứng khoán ngày 27·27 May 2026,UNCLEAR
GEL,GAINER,HSX,2026-06-15 15:37,2026-06-15,15:36,32.6,last_close,2026-06-15,31.79,32.83,12.12,33.47,,-3.17,2.55,,53.98,-0.44,0.1,-0.54,26.92,19.08,30.52,31.66,32.79,1.02,0.92,3.13,14912400.0,-0.28,51.45,1.96,4722400.0,2409290.0,42.6,30.5,3.66,-0.91,0.0,50.0,418897076.0,445000000.0,,,,,,,,1.0,0.0,1.0,Mua,Nguyễn Quang Việt,2026-Q1,0.0,0.0,0.22,0.0,202.0,23954.0,0.0,0.0,33.33,9.34,0.96,4.52,6.47,2984702.01,850840.58,91031.68,327572.59,115.0,-0.23,-0.72,-0.23,-0.72,-1.0,46834859.83,18960484.89,27874374.94,5856459.1,11623954.38,1.47,1760284.82,-7408751.97,7407711.78,-5648467.16,3.66,1.0,-3.0,10.0,-6.0,Xây dựng và Vật liệu,2300,-6.67,0.49,,,,True,FAIR,-20,-2,7,-5,8,0,0,-3,10,-6,-2,-0.04,0,-14,-6,0.03,0.0,-0.07,-2.22,NEUTRAL,LOW,EMA20<EMA50 -15 | ADX=12.12 sideways 0 | ST=33.47 bearish -5 | RSI=53.98 neutral +5 | MACD hist=-0.54<0 -10 | Stoch K>19.08 cross up +3 | CMF=-0.28 outflow (oversold) +8 | OBV divergence -4 | Vol=1.96x avg elevated +3 | BB pos=0.92 near upper (overbought) -5 | OF pattern=SPIKE_BUY +5 | OF vol+183% buy 0.70 | ROE=0.22% weak -3 | D/E=1.47 moderate 0 | CFO>0 real cash +5 | CF quality=3.66 high +5 | RevG-YoY=-23.2% declining -3 | ProfitG-YoY=-72.4% declining -3 | Market FAIR+downtrend -2 | News NEUTRAL -0.04 [Nghị quyết 09 xác lập các trụ cột để TPH... · vietstock ·  2026],-2.22,v2,0,-3,1,0,0,3,-6,0,-1,0,3,0,RS=1.06(─) +0 | 52W_hi=-23.5% -3 | ROC10=+3.7% +1 | NR=N compress=2.62 +0 | FFroom=47.1% +3 | FairVal=-1141%(PE×EPS=2626) -6 | EPScons=-1qtrs -1 | Insider=B1/S0(90d) net=+1 +3,3,0.15,-0.51,-0.04,0.35,-0.62,0.8,0.0,0.11,-0.31,1.0,-0.47,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,6.89,2100,152.64,2026-06-15 15:37,industry·vietstock·Nghị quyết 09 xác lập các trụ cột để TPH·26 May 2026 | industry·nld·Phát huy vai trò của HĐND trong xây dựng·28 May 2026 | macro·petrotimes·Nhận định thị trường chứng khoán ngày 27·27 May 2026,UNCLEAR
LDG,GAINER,HSX,2026-06-15 15:37,2026-06-15,15:36,3.58,last_close,2026-06-15,3.08,3.22,40.19,3.12,3.97,-4.35,16.23,-9.82,70.85,0.0,0.09,-0.09,94.44,90.88,2.56,3.0,3.43,0.13,1.0,3.63,184784700.0,0.33,75.31,4.2,4308500.0,1026150.0,7.22,2.43,23.02,12.93,0.0,50.0,127710825.0,128486292.0,,,,,,,,5.0,15.0,20.0,Mua,TÔ THỊ KIỀU TRINH,2026-Q1,6.33,0.82,9.37,2.61,682.21,5273.0,1.28,0.0,66.8,60.04,0.85,45.64,0.0,3479.2,2203.93,-66168.54,-65401.77,-259.0,-0.95,-6.39,-0.95,-6.39,-1.0,8084769.61,1347940.03,6736829.58,777522.21,,5.0,1908012.15,8.58,-296627.58,1908020.73,20.58,19.0,15.0,10.0,-6.0,Bất động sản,8600,-6.67,0.49,,,,True,FAIR,0,-23,-1,-5,-5,0,0,12,0,-6,-2,-0.04,0,-29,11,0.03,0.0,-0.07,-15.2,SELL,MEDIUM,EMA20<EMA50 -15 | Price -10%<EMA200 (below) +5 | ADX=40.19 strong +5 | ST=3.12 bullish +5 | RSI=70.85 overbought -10 | MACD hist=-0.09<0 -10 | Stoch K=94.44 overbought -5 | CMF=0.33 inflow (overbought) -8 | MFI=75.31 strong inflow +6 | OBV divergence -4 | Vol=4.2x avg breakout +5 | BB pos=1.0 near upper (overbought) -5 | OF pattern=DISTRIBUTION -5 | PE=6.33 very cheap +10 | PB=0.82 below book +5 | D/E=4.998 very high -3 | CFO=1908012152 (sector-skip) 0 | RevG-YoY=-95.5% declining -3 | ProfitG-YoY=-638.8% declining -3 | Market FAIR+downtrend -2 | News NEUTRAL -0.04 [Tin nhanh chứng khoán ngày 2 6 VN Index ... · petrotimes ·  2026],-15.2,v2,4,-5,3,3,0,3,6,0,-1,0,-5,0,RS=1.21(▲) +4 | 52W_hi=-50.4% -5 | ROC10=+23.0% +3 | NR=Y compress=0.41 +3 | FFroom=49.7% +3 | FairVal=+60%(PE×EPS=8869) +6 | EPScons=-1qtrs -1 | Insider=B5/S15(90d) net=-10 -5,-5,-0.25,-0.02,-0.77,-0.05,-0.25,-0.5,0.0,0.11,0.62,0.0,-0.47,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,6.87,230,15.4,2026-06-15 15:37,industry·petrotimes·Tin nhanh chứng khoán ngày 2 6 VN Index ·02 Jun 2026 | industry·petrotimes·Tin nhanh chứng khoán ngày 26 5 Sắc xanh·26 May 2026 | macro·petrotimes·Nhận định thị trường chứng khoán ngày 27·27 May 2026,
CIG,GAINER,HSX,2026-06-15 15:37,2026-06-15,15:36,6.7,last_close,2026-06-15,6.28,6.38,22.05,5.9,7.71,-1.57,6.69,-13.1,60.12,0.06,0.06,0.0,61.68,56.8,5.75,6.19,6.63,0.29,1.0,4.33,6377800.0,0.37,42.73,1.03,112400.0,109290.0,10.35,5.29,10.74,5.35,-0.0,0.0,0.0,0.0,,,,,,,,9.0,11.0,20.0,Mua,NGUYỄN MINH THƯ,2026-Q1,3.15,1.1,24.38,7.76,2702.02,7750.0,0.36,0.0,41.27,93.11,0.71,78.52,5.13,288059.16,97197.27,36965.68,39308.84,,2.88,7.71,2.88,7.71,1.0,2164627.73,395548.88,1769078.86,22748.82,593.38,4.47,-222598.14,191835.9,34441.05,-30762.23,-1.97,18.0,18.0,-10.0,10.0,Xây dựng và Vật liệu,2300,-6.67,0.49,,,,True,FAIR,-5,-7,-12,-5,-3,0,0,15,-10,10,-2,-0.04,0,-28,21,0.03,0.0,-0.07,-14.68,SELL,MEDIUM,EMA20<EMA50 -15 | Price -13%<EMA200 (below) +5 | ST=5.9 bullish +5 | MACD hist=0.0<0 -10 | Stoch K>56.8 cross up +3 | CMF=0.37 inflow (overbought) -8 | OBV divergence -4 | BB pos=1.0 near upper (overbought) -5 | OF pattern=WEAK -3 | PE=3.15 very cheap +10 | PB=1.1 fair +3 | ROE=24.38% excellent +5 | D/E=4.472 very high -3 | CFO<0 cash burn -10 | CF quality=-1.97 low -5 | RevG-YoY=287.6% strong +5 | ProfitG-YoY=771.4% strong +5 | Market FAIR+downtrend -2 | News NEUTRAL -0.04 [Nghị quyết 09 xác lập các trụ cột để TPH... · vietstock ·  2026] | CONFLUENCE bear (5/11 groups) -5,-14.68,v2,4,-3,3,0,0,-7,6,0,0,0,-3,0,RS=1.13(▲) +4 | 52W_hi=-35.3% -3 | ROC10=+10.7% +3 | NR=N compress=0.89 +0 | FFroom=-0.0% -7 | FairVal=+81%(PE×EPS=35126) +6 | EPScons=1qtrs +0 | Insider=B9/S11(90d) net=-2 -3,-3,-0.15,-0.09,-0.15,-0.6,-0.62,-0.3,0.0,-0.26,0.72,-1.0,0.67,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,6.86,430,0.74,2026-06-15 15:37,industry·vietstock·Nghị quyết 09 xác lập các trụ cột để TPH·26 May 2026 | industry·nld·Phát huy vai trò của HĐND trong xây dựng·28 May 2026 | macro·petrotimes·Nhận định thị trường chứng khoán ngày 27·27 May 2026,
HVN,GAINER,HSX,2026-06-15 15:37,2026-06-15,15:36,22.6,last_close,2026-06-15,21.47,22.01,14.81,21.42,26.63,-2.45,5.26,-15.13,64.99,-0.1,0.11,-0.21,38.33,21.01,20.62,21.36,22.09,0.39,1.0,1.73,-36254300.0,-0.38,47.86,3.48,1217200.0,350135.0,38.45,19.3,5.85,6.35,0.0,30.0,675412036.0,933449463.0,,,,,,,,20.0,0.0,20.0,Mua,nan,2026-Q1,8.33,11.36,6.49,10.8,2990.54,2191.0,0.87,0.0,9.53,1.67,0.51,5.28,15.09,27968533.55,4948457.26,2822542.86,2993265.63,1275.0,-0.08,-0.17,-0.08,-0.17,-1.0,73490416.2,6817302.62,66673113.58,9037340.18,4066506.62,9.78,12277545.0,-8185031.52,1175181.97,4092513.48,1.7,13.0,7.0,10.0,-4.0,Du lịch và Giải trí,5700,-6.67,0.49,,,,True,FAIR,-2,-7,17,-5,-3,0,0,4,10,-4,-2,0.02,0,4,15,0.05,0.04,-0.07,7.78,NEUTRAL,MEDIUM,"EMA20<EMA50 -15 | Price -15%<EMA200 (oversold) +8 | ADX=14.81 sideways 0 | ST=21.42 bullish +5 | MACD hist=-0.21<0 -10 | Stoch K>21.01 cross up +3 | CMF=-0.38 outflow (oversold) +8 | OBV confirms trend +4 | Vol=3.48x avg breakout +5 | BB pos=1.0 near upper (overbought) -5 | OF vol+439% sell 0.00 | PE=8.33 very cheap +10 | PB=11.36 expensive -3 | D/E=9.78 very high -3 | CFO>0 real cash +5 | CF quality=1.7 high +5 | RevG-YoY=-8.5% slight decline -1 | ProfitG-YoY=-17.0% declining -3 | Market FAIR+downtrend -2 | News NEUTRAL +0.02 [Hàng không tăng tải mùa hè, giá vé nội đ... · tuoitre ·  2026]",7.78,v2,4,-3,3,0,0,0,6,0,-1,0,5,0,RS=1.14(▲) +4 | 52W_hi=-41.2% -3 | ROC10=+5.8% +3 | NR=N compress=1.13 +0 | FFroom=21.7% +0 | FairVal=+42%(PE×EPS=38877) +6 | EPScons=-1qtrs -1 | Insider=B20/S0(90d) net=+20 +5,5,0.25,-0.02,-0.15,0.85,-0.62,-0.3,0.0,0.0,0.34,1.0,-0.33,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,6.86,1450,27.51,2026-06-15 15:37,"mention·tuoitre·Hàng không tăng tải mùa hè, giá vé nội đ·09 Jun 2026 | mention·vnexpress·Vietnam Airlines tổ chức 'chuyến đi mơ ư·10 Jun 2026 | industry·dantri·Du lịch Việt lập kỷ lục mới trong tháng ·03 Jun 2026",
HPG,GAINER,HSX,2026-06-15 15:36,2026-06-15,15:36,24.35,last_close,2026-06-15,23.88,24.12,22.0,24.41,24.12,-1.0,1.97,0.95,55.31,-0.2,0.01,-0.21,29.49,17.7,23.22,23.86,24.5,0.42,0.88,1.72,536969906.0,-0.26,49.5,1.54,30695200.0,19966083.0,27.54,19.79,1.25,1.25,0.0,49.0,2111391629.0,3760978268.0,,,,,44967925000.0,18831825000.0,2.1,0.0,1.0,1.0,Bán,Nguyễn Ngọc Quang,2026-Q1,11.98,1.54,2.98,6.34,2203.18,17096.0,1.07,0.0,13.85,8.42,0.54,4.72,20.84,35910519.11,6589722.49,4256754.78,4960786.33,,-0.05,0.27,-0.05,0.27,1.0,257921581.41,131220010.88,126701570.54,64694957.24,27479194.06,0.97,17365859.06,-25814392.87,9861932.84,-8448533.81,1.12,21.0,7.0,10.0,4.0,Tài nguyên Cơ bản,1700,-6.67,0.49,,,,True,FAIR,-20,-2,7,-5,8,0,0,8,10,4,-2,-0.09,5,-12,25,0.0,-0.02,-0.07,13.71,NEUTRAL,MEDIUM,EMA20<EMA50 -15 | ST=24.41 bearish -5 | RSI=55.31 neutral +5 | MACD hist=-0.21<0 -10 | Stoch K>17.7 cross up +3 | CMF=-0.26 outflow (oversold) +8 | OBV divergence -4 | Vol=1.54x avg elevated +3 | BB pos=0.88 near upper (overbought) -5 | OF pattern=SPIKE_BUY +5 | OF vol+183% buy 0.72 | PE=11.98 cheap +7 | PB=1.54 fair +3 | ROE=2.98% weak -3 | D/E=0.966 healthy +1 | CFO>0 real cash +5 | CF quality=1.12 high +5 | RevG-YoY=-4.5% slight decline -1 | ProfitG-YoY=27.3% strong +5 | Market FAIR+downtrend -2 | News NEUTRAL -0.09 [Trái phiếu liên kết bền vững: Gỡ điểm ng... · vietstock ·  2026] | CONFLUENCE bull (5/11 groups) +5 | CONFLUENCE bull (5/11) +5,8.71,v2,0,0,0,0,0,0,3,0,0,10,-3,0,RS=1.08(─) +0 | 52W_hi=-11.6% +0 | ROC10=+1.2% +0 | NR=N compress=2.91 +0 | FFroom=27.5% +0 | FairVal=+15%(PE×EPS=28641) +3 | EPScons=1qtrs +0 | PropTrade=+45.0tỷ(5d) +10 | Insider=B0/S1(90d) net=-1 -3,7,0.35,-0.44,-0.08,0.35,-0.62,0.8,0.0,0.0,0.38,1.0,0.27,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,4.96,1150,736.12,2026-06-15 15:37,mention·vietstock·Trái phiếu liên kết bền vững: Gỡ điểm ng·06 Jun 2026 | mention·tuoitre·Tin tức sáng 11-6: Ai được ưu tiên khám ·11 Jun 2026 | macro·petrotimes·Nhận định thị trường chứng khoán ngày 27·27 May 2026,
PNJ,GAINER,HSX,2026-06-15 15:36,2026-06-15,15:36,65.0,last_close,2026-06-15,65.19,67.69,35.55,67.12,64.65,-3.69,-0.29,0.54,46.36,-1.35,0.03,-1.38,28.89,21.32,62.74,64.9,67.05,1.72,0.52,2.65,28349880.0,0.18,47.85,1.55,1400200.0,900485.0,84.67,51.06,-1.22,0.46,0.0,49.0,4998725.0,250826843.0,,,,,13379550000.0,8861690000.0,0.34,3.0,1.0,4.0,Bán,Đào Trung Kiên,2026-Q1,11.59,2.49,9.65,15.79,8368.83,38915.0,0.78,0.01,25.13,12.67,0.4,46.43,0.0,7582449.57,1633611.94,441636.51,552623.85,1204.0,-0.21,-0.35,-0.21,-0.35,-1.0,20168475.77,13275754.82,6892720.95,4223385.64,,0.52,18890.4,-893788.03,272974.96,-874897.63,0.01,1.0,7.0,0.0,-6.0,Hàng cá nhân & Gia dụng,3700,-6.67,0.49,,,,True,FAIR,-15,-2,-9,0,0,0,0,8,0,-6,-2,-0.07,0,-29,7,0.0,0.0,-0.07,-11.63,SELL,MEDIUM,EMA20<EMA50 -15 | ADX=35.55 strong +5 | ST=67.12 bearish -5 | RSI=46.36 neutral +5 | MACD hist=-1.38<0 -10 | Stoch K>21.32 cross up +3 | CMF=0.18 inflow (overbought) -8 | OBV divergence -4 | Vol=1.55x avg elevated +3 | PE=11.59 cheap +7 | PB=2.49 neutral 0 | D/E=0.519 healthy +1 | CFO>0 real cash +5 | CF quality=0.01 low -5 | RevG-YoY=-21.3% declining -3 | ProfitG-YoY=-34.8% declining -3 | Market FAIR+downtrend -2 | News NEUTRAL -0.07 [Nhận định thị trường chứng khoán ngày 27... · petrotimes ·  2026],-11.63,v2,0,-3,0,0,0,-7,6,0,-1,10,3,0,RS=1.08(─) +0 | 52W_hi=-23.2% -3 | ROC10=-1.2% +0 | NR=N compress=1.53 +0 | FFroom=1.0% -7 | FairVal=+40%(PE×EPS=108795) +6 | DivYield=1.0% +0 | EPScons=-1qtrs -1 | PropTrade=+13.4tỷ(5d) +10 | Insider=B3/S1(90d) net=+2 +3,13,0.65,-0.4,-0.08,-0.45,0.0,0.0,0.0,-0.26,0.48,0.0,-0.47,-0.22,0.2,0.13,0.1,0.08,0.11,0.08,0.05,0.06,4.84,3000,89.48,2026-06-15 15:37,macro·petrotimes·Nhận định thị trường chứng khoán ngày 27·27 May 2026,
