symbol,exchange,decision,confidence,entry_style,price,entry_low,entry,entry_high,stop_loss,risk_pct,tp1,tp2,rr_tp1,rr_headroom,size_hint,nearest_support,nearest_resist,levels_used,flags,skip
REE,HSX,NEUTRAL,MEDIUM,PULLBACK,47.2,46.95,47.0,47.2,46.55,0.96,47.65,49.1,1.44,0.56,NO_TRADE,46.99,47.25,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
SAB,HSX,NEUTRAL,HIGH,PULLBACK,47.15,46.95,47.0,47.15,46.55,0.96,47.65,49.1,1.44,1.11,NO_TRADE,46.98,47.5,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","CONSENSUS_BULL,TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
SBT,HSX,NEUTRAL,MEDIUM,PULLBACK,21.25,21.2,21.2,21.25,20.9,1.42,21.6,22.25,1.33,0.33,NO_TRADE,21.22,21.3,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
SCS,HSX,SELL,MEDIUM,PULLBACK,48.9,48.5,48.55,48.9,47.45,2.27,50.1,51.7,1.41,0.64,NO_TRADE,48.55,49.25,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","VALUE_OPPORTUNITY,TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
SHB,HSX,SELL,MEDIUM,PULLBACK,13.35,13.3,13.3,13.35,13.15,1.13,13.5,13.9,1.33,3.33,NO_TRADE,13.3,13.8,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","VALUE_OPPORTUNITY,TP2_FORCED_GAP,REF_ONLY",not_buy
SHS,HNX,BUY,MEDIUM,PULLBACK,19.1,18.7,18.8,19.1,17.9,4.79,20.1,20.7,1.44,0.44,HALF,18.75,19.2,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM",
SIP,HSX,NEUTRAL,MEDIUM,PULLBACK,49.5,49.05,49.05,49.5,48.0,2.14,50.6,52.1,1.48,0.62,NO_TRADE,49.06,49.7,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
SJS,HSX,STRONG SELL,MEDIUM,PULLBACK,47.8,47.1,47.1,47.8,44.1,6.37,49.6,51.1,0.83,0.27,NO_TRADE,47.11,47.9,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP1_PULLED_BACK,TP_NEAR_CEILING,TIGHT_HEADROOM,STOP_BELOW_FLOOR,REF_ONLY",not_buy
SLS,HNX,SELL,MEDIUM,PULLBACK,149.0,148.5,148.5,149.0,147.1,0.94,150.6,155.1,1.5,1.07,NO_TRADE,148.53,150.0,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","VALUE_OPPORTUNITY,TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
SSB,HSX,NEUTRAL,HIGH,PULLBACK,15.95,15.9,15.9,15.95,15.7,1.26,16.2,16.65,1.5,1.5,NO_TRADE,15.9,16.2,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","CONSENSUS_BULL,TP2_FORCED_GAP,REF_ONLY",not_buy
SSI,HSX,SELL,MEDIUM,PULLBACK,26.95,26.85,26.9,26.95,26.1,2.97,28.05,,1.44,0.25,NO_TRADE,26.9,27.1,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","SINGLE_TP_ONLY,TIGHT_HEADROOM,REF_ONLY",not_buy
STB,HSX,NEUTRAL,MEDIUM,PULLBACK,71.0,70.5,70.6,71.0,67.2,4.82,75.6,,1.47,0.24,NO_TRADE,70.6,71.4,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","SINGLE_TP_ONLY,TIGHT_HEADROOM,REF_ONLY",not_buy
SZC,HSX,SELL,MEDIUM,PULLBACK,21.4,21.35,21.35,21.4,20.6,3.51,22.45,,1.47,1.73,NO_TRADE,21.35,22.65,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","SINGLE_TP_ONLY,REF_ONLY",not_buy
TCB,HSX,NEUTRAL,MEDIUM,PULLBACK,33.15,33.0,33.0,33.15,31.85,3.48,34.7,,1.48,0.39,NO_TRADE,33.0,33.45,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","SINGLE_TP_ONLY,TIGHT_HEADROOM,REF_ONLY",not_buy
TCH,HSX,SELL,MEDIUM,PULLBACK,13.75,13.55,13.6,13.75,13.3,2.21,14.0,14.45,1.33,1.0,NO_TRADE,13.59,13.9,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
TMB,HNX,SELL,MEDIUM,PULLBACK,50.5,50.2,50.2,50.5,49.3,1.79,51.5,53.0,1.44,0.89,NO_TRADE,,51.0,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","VALUE_OPPORTUNITY,TP2_FORCED_GAP,TIGHT_HEADROOM,REF_ONLY",not_buy
TNG,HNX,NEUTRAL,MEDIUM,PULLBACK,18.7,18.5,18.6,18.7,17.1,8.06,19.9,20.5,0.87,0.13,NO_TRADE,18.55,18.8,"ema20,ema50,bb,poc_vol,value_area_low,supertrend,low_5d,atr","VALUE_OPPORTUNITY,TP1_PULLED_BACK,TP_NEAR_CEILING,TIGHT_HEADROOM,SKIP_WIDE_STOP,REF_ONLY",wide_stop
