field,symbol,group,exchange,time,date,snap_time,price,price_type,intra_buy_vol,intra_sell_vol,intra_delta,intra_buy_ratio,ema20,ema50,adx,supertrend,ema200,ema_cross_pct,price_vs_ema20_pct,rsi,macd,macd_sig,macd_hist,stoch_k,stoch_d,bb_lower,bb_mid,bb_upper,atr,bb_position,atr_pct,obv,cmf,mfi,vol_ma_ratio,vol_today,vol_avg_20d,ff_buy_val_5d,ff_sell_val_5d,ff_net_val_5d,ff_net_val_20d,insider_count,insider_latest,insider_name,r_period,r_pe,r_pb,r_roe,r_roa,r_eps,r_bvps,r_beta,r_div_yield,r_gross_margin,r_net_margin,r_quick_ratio,r_interest_cov,r_ev_ebitda,is_revenue,is_gross_profit,is_net_profit,is_operating_profit,is_eps,is_rev_growth,is_profit_growth,is_rev_growth_yoy,is_profit_growth_yoy,bs_total_assets,bs_equity,bs_total_liab,bs_short_debt,bs_long_debt,bs_debt_to_equity,cf_operating,cf_investing,cf_financing,cf_free,cf_quality_ratio,finance_score,finance_score_fund,finance_score_cf,finance_score_growth,industry,icb_code,ff_room,ff_trend,ff_consistency,ff_acceleration,ff_data_invalid,price_vs_ema200_pct,market_valuation,trend_score,momentum_score,volume_score,volatility_score,order_flow_score,ff_score,fundamental_score,cf_score,growth_score,context_score,news_score,confluence_bonus,tech_score,fund_score,news_industry,news_mention,news_macro,news_evidence,total_score,decision,confidence,pattern_flags,signals
FCM,FCM,GAINER,HSX,2026-07-03 13:02,2026-07-03,13:02,3.36,realtime,4400.0,3400.0,1000.0,0.56,3.35,3.32,26.99,3.64,3.5,0.9,0.3,51.56,0.02,-0.02,0.03,36.54,32.48,3.19,3.37,3.55,0.11,0.47,3.27,-719853.0,0.15,69.45,0.19,7800.0,41635.0,,,,,5,Bán,Đặng Lê Quân,2026-Q1,8.77,0.3,1.16,2.96,406.1,11978.0,0.23,0.0,7.92,4.56,5.23,0.0,0.0,116276136.0,13726631.0,4359293.0,5452034.0,107.0,0.0377,-0.0101,0.0377,-0.0101,nan,nan,nan,nan,nan,nan,26597390.0,2397492.0,nan,28994882.0,1.42,22,12,10,0,Xây dựng và Vật liệu,2300,,,,,True,-4.0,FAIR,15,18,-9,0,-3,0,12,10,0,2,-0.04,0,21,22,0.029999999999999805,0.0,-0.06999999999999995,[industry] vietstock: Nghị quyết 09 xác lập các trụ cột để TPHCM phát tr (26 May 2026) +1.56 | [industry] nld: Phát huy vai trò của HĐND trong xây dựng cơ chế độ (28 May 2026) +1.35 | [macro] znews: Sự ra đời của ngân hàng trung ương đầu tiên trên t (16 Jun 2026) -2.00,44.96,BUY,MEDIUM,[],EMA20>EMA50 +15 | ADX=26.99 strong +5 | ST=3.64 bearish -5 | RSI=51.56 neutral +5 | MACD hist=0.03>0 +10 | Stoch K>32.48 cross up +3 | CMF=0.15 inflow (overbought) -8 | MFI=69.45 strong inflow +6 | OBV divergence -4 | Vol=0.19x avg weak -3 | OF pattern=WEAK -3 | AskClear (no wall) +1 | NoBidWall -1 | PE=8.77 very cheap +10 | PB=0.3 below book +5 | ROE=1.16% weak -3 | CFO>0 real cash +5 | CF quality=1.42 high +5 | RevG-YoY=3.8% positive +1 | ProfitG-YoY=-1.0% slight decline -1 | Market FAIR+uptrend +2 | News NEUTRAL -0.04 [Nghị quyết 09 xác lập các trụ cột để TPH... · vietstock ·  2026]
DHA,DHA,GAINER,HSX,2026-07-03 13:02,2026-07-03,13:02,52.8,realtime,15100.0,3200.0,11900.0,0.83,50.13,49.35,38.12,48.68,51.71,1.58,5.33,72.37,1.04,0.3,0.74,88.37,78.38,46.41,49.59,52.76,1.24,1.0,2.35,3339326.0,-0.1,72.54,0.75,18700.0,24835.0,,,,,5,Mua,nan,2026-Q1,8.99,2.02,3.97,21.63,7453.99,33194.0,0.57,0.04,31.73,18.37,6.94,0.0,0.0,121071890.0,45476918.0,32284760.0,40468316.0,2193.0,0.603,0.3247,0.603,0.3247,542972577.0,488658533.0,54314043.0,nan,nan,0.111,77221764.0,-72111999.0,-44162123.0,5109765.0,0.7,22,7,5,10,Xây dựng và Vật liệu,2300,,,,,True,2.11,FAIR,25,-5,10,-5,0,0,10,5,10,2,-0.09,5,25,25,0.029999999999999805,-0.050000000000000044,-0.06999999999999995,[mention] petrotimes: Văn hóa an toàn Petrovietnam Từ mệnh lệnh sản xuất (04 Jun 2026) -0.48 | [mention] petrotimes: VIDEO Văn hóa an toàn lao động tại Petrovietnam (08 Jun 2026) +0.00 | [industry] vietstock: Nghị quyết 09 xác lập các trụ cột để TPHCM phát tr (26 May 2026) +1.56,56.91,BUY,MEDIUM,[],EMA20>EMA50 +15 | ADX=38.12 strong +5 | ST=48.68 bullish +5 | RSI=72.37 overbought -10 | MACD hist=0.74>0 +10 | Stoch K=88.37 overbought -5 | MFI=72.54 strong inflow +6 | OBV confirms trend +4 | BB pos=1.0 near upper (overbought) -5 | AskClear (no wall) +1 | NoBidWall -1 | PE=8.99 very cheap +10 | PB=2.02 neutral 0 | ROE=3.97% weak -3 | D/E=0.111 very low +3 | CFO>0 real cash +5 | RevG-YoY=60.3% strong +5 | ProfitG-YoY=32.5% strong +5 | Market FAIR+uptrend +2 | News NEUTRAL -0.09 [Văn hóa an toàn Petrovietnam Từ mệnh lện... · petrotimes ·  2026] | CONFLUENCE bull (5/11 groups) +5
DSC,DSC,GAINER,HSX,2026-07-03 13:02,2026-07-03,13:02,13.1,realtime,5700.0,13400.0,-7700.0,0.3,13.02,13.08,13.43,12.39,14.29,-0.46,0.61,51.8,-0.02,-0.02,0.0,21.74,18.6,12.6,13.11,13.62,0.36,0.49,2.75,3936194.0,0.34,52.73,1.07,21100.0,19680.0,,,,,5,Mua,La Quỳnh Anh,2026-Q1,11.12,1.32,1.5,4.49,1304.1,11006.76,0.39,0.0,67.31,23.97,nan,nan,0.0,nan,98075459.0,nan,nan,nan,nan,nan,nan,nan,7059957843.0,nan,4025976067.0,nan,nan,nan,-1127878040.0,4624469.0,951953829.0,-1123253571.0,nan,-3,7,-10,0,Dịch vụ tài chính,8700,,,,,True,-8.33,FAIR,-5,-2,-12,0,0,0,7,0,0,2,-0.05,0,-19,7,0.020000000000000018,0.0,-0.06999999999999995,[industry] tuoitre: Chứng khoán 2-6: Nên làm gì khi thị trường rơi vào (02 Jun 2026) +2.50 | [industry] vietstock: Thủ tướng: TPHCM phải xử lý dứt điểm dự án chống n (14 Jun 2026) +1.95 | [macro] znews: Sự ra đời của ngân hàng trung ương đầu tiên trên t (16 Jun 2026) -2.00,-8.05,NEUTRAL,LOW,['UNCLEAR'],"EMA20<EMA50 -15 | Price -8%<EMA200 (below) +5 | ADX=13.43 sideways 0 | ST=12.39 bullish +5 | RSI=51.8 neutral +5 | MACD hist=0.0<0 -10 | Stoch K>18.6 cross up +3 | CMF=0.34 inflow (overbought) -8 | OBV divergence -4 | AskClear (no wall) +1 | BidWall 13.10 (10K cp, -0.0%) +1 | PE=11.12 cheap +7 | PB=1.32 fair +3 | ROE=1.5% weak -3 | CFO=-1127878040 (sector-skip) 0 | Market FAIR+uptrend +2 | News NEUTRAL -0.05 [Chứng khoán 2-6: Nên làm gì khi thị trườ... · tuoitre ·  2026]"
PHC,PHC,GAINER,HSX,2026-07-03 13:02,2026-07-03,13:02,4.6,realtime,9700.0,27700.0,-18000.0,0.26,4.66,4.75,29.19,5.09,5.0,-1.89,-1.29,40.92,-0.06,0.0,-0.06,21.93,26.33,4.54,4.65,4.76,0.18,0.26,3.91,490500.0,-0.03,56.93,2.0,37500.0,18705.0,,,,,5,Bán,Đỗ Thị Hạnh Dung,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,327158658.0,30367839.0,1709563.0,3177152.0,34.0,0.4645,0.0085,0.4645,0.0085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6,0,0,6,Xây dựng và Vật liệu,2300,,,,,True,-8.0,FAIR,-10,-8,-1,0,-5,0,0,0,6,2,-0.04,0,-24,6,0.029999999999999805,0.0,-0.06999999999999995,[industry] vietstock: Nghị quyết 09 xác lập các trụ cột để TPHCM phát tr (26 May 2026) +1.56 | [industry] nld: Phát huy vai trò của HĐND trong xây dựng cơ chế độ (28 May 2026) +1.35 | [macro] znews: Sự ra đời của ngân hàng trung ương đầu tiên trên t (16 Jun 2026) -2.00,-17.04,SELL,MEDIUM,[],"EMA20<EMA50 -15 | Price -8%<EMA200 (below) +5 | ADX=29.19 strong +5 | ST=5.09 bearish -5 | RSI=40.92 neutral +5 | MACD hist=-0.06<0 -10 | Stoch K<26.33 cross down -3 | OBV divergence -4 | Vol=2.0x avg elevated +3 | OF pattern=DISTRIBUTION -5 | AskWall 4.60 (9K cp, +0.0%) -2 | BidWall 4.51 (9K cp, -2.0%) +1 | RevG-YoY=46.5% strong +5 | ProfitG-YoY=0.9% positive +1 | Market FAIR+uptrend +2 | News NEUTRAL -0.04 [Nghị quyết 09 xác lập các trụ cột để TPH... · vietstock ·  2026]"
LAF,LAF,LOSER,HSX,2026-07-03 13:02,2026-07-03,13:02,22.0,realtime,200.0,25000.0,-24800.0,0.01,20.07,18.57,36.98,25.15,17.97,8.08,9.62,63.28,1.63,0.56,1.07,79.07,90.65,13.95,19.23,24.51,0.82,0.76,3.73,236907.0,0.32,82.75,1.16,28600.0,24700.0,,,,,5,Mua,Phan Ngọc Sơn,2026-Q1,7.21,1.12,6.5,7.69,2634.95,16926.0,0.39,8.0,12.97,5.83,0.49,7.05,0.0,134564769.0,24677555.0,12397737.0,15504339.0,814.0,0.7744,2.2272,0.7744,2.2272,nan,nan,nan,nan,nan,nan,-119011334.0,-26843945.0,150670628.0,-145855279.0,-2.97,13,13,-10,10,Thực phẩm và đồ uống,3500,,,,,True,22.43,FAIR,7,7,2,0,-3,0,13,-10,10,2,-0.07,0,13,13,0.0,0.0,-0.06999999999999995,[macro] znews: Sự ra đời của ngân hàng trung ương đầu tiên trên t (16 Jun 2026) -2.00,24.93,NEUTRAL,MEDIUM,[],"EMA20>EMA50 +15 | Price 22%>EMA200 (overextended) -8 | ADX=36.98 strong +5 | ST=25.15 bearish -5 | MACD hist=1.07>0 +10 | Stoch K<90.65 cross down -3 | CMF=0.32 inflow (overbought) -8 | MFI=82.75 strong inflow +6 | OBV confirms trend +4 | OF pattern=WEAK -3 | AskWall 22.00 (6K cp, +0.0%) -2 | NoBidWall -1 | PE=7.21 very cheap +10 | PB=1.12 fair +3 | CFO<0 cash burn -10 | CF quality=-2.97 low -5 | RevG-YoY=77.4% strong +5 | ProfitG-YoY=222.7% strong +5 | Market FAIR+uptrend +2 | News NEUTRAL -0.07 [Sự ra đời của ngân hàng trung ương đầu t... · znews ·  2026]"
PNJ,PNJ,LOSER,HSX,2026-07-03 13:02,2026-07-03,13:02,58.7,realtime,86400.0,0.0,86400.0,1.0,64.12,66.25,24.51,64.2,64.68,-3.22,-8.45,27.39,-1.28,-0.45,-0.83,7.89,13.16,59.85,64.46,69.07,1.81,0.0,3.08,24799701.0,0.16,44.29,0.98,997700.0,1014150.0,,,,,5,Bán,Đào Trung Kiên,2026-Q1,11.59,2.49,9.65,15.79,8368.83,38915.0,0.78,1.0,25.13,12.67,0.4,46.43,0.0,7582449574.0,1633611940.0,441636505.0,552623851.0,1204.0,-0.213,-0.3484,-0.213,-0.3484,nan,nan,nan,nan,nan,nan,18890404.0,-893788030.0,272974961.0,-874897626.0,0.01,1,7,0,-6,Hàng cá nhân & Gia dụng,3700,,,,,True,-9.25,FAIR,-15,10,-12,5,0,0,7,0,-6,2,0.03,0,-12,1,0.0,0.10000000000000009,-0.06999999999999995,[mention] vnexpress: PNJ lần thứ ba liên tiếp vào top 500 Fortune Đông  (16 Jun 2026) +0.75 | [mention] cafebiz: PNJ lần thứ ba liên tiếp vào danh sách Fortune 500 (16 Jun 2026) +0.00 | [macro] znews: Sự ra đời của ngân hàng trung ương đầu tiên trên t (16 Jun 2026) -2.00,-12.97,NEUTRAL,LOW,['UNCLEAR'],EMA20<EMA50 -15 | Price -9%<EMA200 (below) +5 | ST=64.2 bearish -5 | RSI=27.39 oversold +15 | MACD hist=-0.83<0 -10 | Stoch K=7.89 oversold +5 | CMF=0.16 inflow (overbought) -8 | OBV divergence -4 | BB pos=0.0 near lower (oversold) +5 | AskWall x2 mức ≥5K cp -3 | NoBidWall -1 | PE=11.59 cheap +7 | PB=2.49 neutral 0 | CFO>0 real cash +5 | CF quality=0.01 low -5 | RevG-YoY=-21.3% declining -3 | ProfitG-YoY=-34.8% declining -3 | Market FAIR+uptrend +2 | News NEUTRAL +0.03 [PNJ lần thứ ba liên tiếp vào top 500 For... · vnexpress ·  2026]
SJS,SJS,LOSER,HSX,2026-07-03 13:02,2026-07-03,13:02,44.5,realtime,11200.0,5900.0,5300.0,0.65,48.49,50.47,37.29,50.69,56.17,-3.92,-8.23,19.0,-1.36,-0.09,-1.27,15.48,24.21,46.21,48.31,50.42,1.37,0.0,3.08,321197.0,0.33,43.08,0.8,17100.0,21475.0,,,,,5,Bán,,2026-Q1,38.28,6.15,3.91,3.73,1614.43,10054.0,0.49,0.0,63.71,43.9,0.41,0.0,115.56,193868967.0,142139879.0,103558096.0,130089839.0,909.0,0.3524,0.5402,0.3524,0.5402,nan,nan,nan,nan,nan,nan,-74242932.0,75304865.0,-20965217.0,1061933.0,-0.21,-11,-11,-10,10,Bất động sản,8600,,,,,True,-20.78,FAIR,-7,10,-12,5,-3,0,-11,0,10,2,-0.03,0,-7,-1,0.040000000000000036,0.0,-0.06999999999999995,[industry] petrotimes: Tin nhanh chứng khoán ngày 2 6 VN Index giảm 6 phi (02 Jun 2026) -1.60 | [industry] cafebiz: Vinhomes dừng mở rộng quỹ đất tại Việt Nam khi đan (17 Jun 2026) +1.00 | [macro] znews: Sự ra đời của ngân hàng trung ương đầu tiên trên t (16 Jun 2026) -2.00,-4.03,NEUTRAL,LOW,['UNCLEAR'],"EMA20<EMA50 -15 | Price -21%<EMA200 (oversold) +8 | ADX=37.29 strong +5 | ST=50.69 bearish -5 | RSI=19.0 oversold +15 | MACD hist=-1.27<0 -10 | Stoch K=15.48 oversold +5 | CMF=0.33 inflow (overbought) -8 | OBV divergence -4 | BB pos=0.0 near lower (oversold) +5 | OF pattern=WEAK -3 | AskClear (no wall) +1 | BidWall 44.60 (10K cp, --0.2%) +1 | PE=38.28 expensive -5 | PB=6.15 expensive -3 | ROE=3.91% weak -3 | CFO=-74242932 (sector-skip) 0 | RevG-YoY=35.2% strong +5 | ProfitG-YoY=54.0% strong +5 | Market FAIR+uptrend +2 | News NEUTRAL -0.03 [Tin nhanh chứng khoán ngày 2 6 VN Index ... · petrotimes ·  2026]"
HAP,HAP,LOSER,HSX,2026-07-03 13:02,2026-07-03,13:02,6.5,realtime,36500.0,85700.0,-49200.0,0.3,6.76,6.88,37.29,7.25,7.01,-1.74,-3.85,43.19,-0.01,0.02,-0.03,57.14,63.84,6.14,6.66,7.17,0.31,0.35,4.77,4561300.0,0.22,71.67,2.68,122200.0,45635.0,,,,,5,Mua,Trần Quang Tiến,2026-Q1,-5.9,0.7,-9.83,-8.87,-1239.48,10498.0,0.19,0.0,13.58,-96.09,8.02,-485.2,0.0,151341887.0,25590147.0,-4140598.0,-3634970.0,-37.0,0.1583,0.5243,0.1583,0.5243,1254938167.0,1164724642.0,90213526.0,17472408.0,nan,0.077,48582642.0,-21078011.0,-8924450.0,27504631.0,-0.46,5,-3,0,8,Tài nguyên Cơ bản,1700,,,,,True,-7.28,FAIR,-10,-8,-1,0,0,0,0,0,8,2,-0.07,0,-19,8,0.0,0.0,-0.06999999999999995,[macro] znews: Sự ra đời của ngân hàng trung ương đầu tiên trên t (16 Jun 2026) -2.00,-11.07,NEUTRAL,LOW,['UNCLEAR'],"EMA20<EMA50 -15 | Price -7%<EMA200 (below) +5 | ADX=37.29 strong +5 | ST=7.25 bearish -5 | RSI=43.19 neutral +5 | MACD hist=-0.03<0 -10 | Stoch K<63.84 cross down -3 | CMF=0.22 inflow (overbought) -8 | MFI=71.67 strong inflow +6 | OBV divergence -4 | Vol=2.68x avg breakout +5 | AskWall 6.98 (6K cp, +7.4%) -1 | NoBidWall -1 | PE=-5.9 negative (loss) -5 | PB=0.7 below book +5 | ROE=-9.83% weak -3 | D/E=0.077 very low +3 | CFO>0 real cash +5 | CF quality=-0.46 low -5 | RevG-YoY=15.8% good +3 | ProfitG-YoY=52.4% strong +5 | Market FAIR+uptrend +2 | News NEUTRAL -0.07 [Sự ra đời của ngân hàng trung ương đầu t... · znews ·  2026]"
ACC,ACC,LOSER,HSX,2026-07-03 13:02,2026-07-03,13:02,10.75,realtime,9800.0,15900.0,-6100.0,0.38,12.07,12.38,25.01,12.53,13.06,-2.5,-10.94,22.83,-0.32,-0.16,-0.16,13.57,17.09,11.22,12.23,13.23,0.56,0.0,5.21,-971400.0,0.12,8.78,1.77,25700.0,14545.0,,,,,5,Bán,Hoàng Xuân Quang,2026-Q1,26.7651233466,0.9448323016,3.56938549,1.6908172700000001,nan,nan,nan,0.0,13.33647626,6.26433667,0.6315020697,nan,25.4536236771,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3,-3,0,0,Xây dựng và Vật liệu,2300,,,,,True,-17.69,FAIR,-7,10,-7,5,-3,0,-3,0,0,2,-0.04,0,-2,-3,0.029999999999999805,0.0,-0.06999999999999995,[industry] vietstock: Nghị quyết 09 xác lập các trụ cột để TPHCM phát tr (26 May 2026) +1.56 | [industry] nld: Phát huy vai trò của HĐND trong xây dựng cơ chế độ (28 May 2026) +1.35 | [macro] znews: Sự ra đời của ngân hàng trung ương đầu tiên trên t (16 Jun 2026) -2.00,-3.04,NEUTRAL,LOW,['UNCLEAR'],EMA20<EMA50 -15 | Price -18%<EMA200 (oversold) +8 | ADX=25.01 strong +5 | ST=12.53 bearish -5 | RSI=22.83 oversold +15 | MACD hist=-0.16<0 -10 | Stoch K=13.57 oversold +5 | CMF=0.12 inflow (overbought) -8 | MFI=8.78 weak -6 | OBV confirms trend +4 | Vol=1.77x avg elevated +3 | BB pos=0.0 near lower (oversold) +5 | OF pattern=WEAK -3 | AskClear (no wall) +1 | NoBidWall -1 | PE=26.7651233466 expensive -5 | PB=0.9448323016 below book +5 | ROE=3.56938549% weak -3 | Market FAIR+uptrend +2 | News NEUTRAL -0.04 [Nghị quyết 09 xác lập các trụ cột để TPH... · vietstock ·  2026]
ASP,ASP,LOSER,HSX,2026-07-03 13:02,2026-07-03,13:02,9.07,realtime,62700.0,274300.0,-211600.0,0.19,8.21,7.45,47.34,8.27,5.96,10.2,10.48,68.69,0.54,0.18,0.36,89.97,93.28,6.3,7.92,9.55,0.4,0.85,4.41,6319800.0,0.33,78.99,1.6,354600.0,221935.0,,,,,5,Mua,Trần Duy Luân,2026-Q1,7.22,0.52,3.51,1.69,649.55,9001.0,0.33,0.0,11.61,1.48,0.66,2.55,0.0,838403656.0,88964974.0,-6144454.0,-5149649.0,-165.0,0.1404,-2.6624,0.1404,-2.6624,1320453728.0,336104689.0,984349039.0,375816911.0,nan,2.929,56871882.0,43247774.0,-212666440.0,100119656.0,4.08,22,12,10,0,"Điện, nước & xăng dầu khí đốt",7500,,,,,True,52.18,FAIR,17,2,5,-5,0,0,10,10,0,2,-0.07,0,19,20,0.0,0.0,-0.06999999999999995,[macro] znews: Sự ra đời của ngân hàng trung ương đầu tiên trên t (16 Jun 2026) -2.00,40.93,BUY,MEDIUM,[],"EMA20>EMA50 +15 | Price 52%>EMA200 (overextended) -8 | ADX=47.34 strong +5 | ST=8.27 bullish +5 | MACD hist=0.36>0 +10 | Stoch K=89.97 overbought -5 | Stoch K<93.28 cross down -3 | CMF=0.33 inflow (overbought) -8 | MFI=78.99 strong inflow +6 | OBV confirms trend +4 | Vol=1.6x avg elevated +3 | BB pos=0.85 near upper (overbought) -5 | AskWall 9.24 (13K cp, +1.9%) -2 | BidWall x3 mức ≥5K cp +2 | PE=7.22 very cheap +10 | PB=0.52 below book +5 | ROE=3.51% weak -3 | D/E=2.929 high -2 | CFO>0 real cash +5 | CF quality=4.08 high +5 | RevG-YoY=14.0% good +3 | ProfitG-YoY=-266.2% declining -3 | Market FAIR+uptrend +2 | News NEUTRAL -0.07 [Sự ra đời của ngân hàng trung ương đầu t... · znews ·  2026]"
PTL,PTL,LOSER,HSX,2026-07-03 13:02,2026-07-03,13:02,2.18,realtime,9900.0,20400.0,-10500.0,0.33,2.45,2.57,53.64,2.63,2.89,-4.67,-11.02,26.27,-0.1,-0.03,-0.06,26.4,20.81,2.22,2.49,2.76,0.14,0.0,6.42,4323700.0,-0.1,1.41,0.31,30300.0,96795.0,,,,,5,Mua,Nguyễn Tấn Thụ,2026-Q1,19.52,0.56,2.13,1.08,143.48,5041.0,0.8,0.0,-6.1,6.37,0.82,3.63,0.0,121509585.0,26904314.0,-656736.0,5168158.0,-7.0,0.173,-1.4776,0.173,-1.4776,1401668354.0,504137350.0,897531005.0,150944032.0,nan,1.78,194702895.0,-196835750.0,23807887.0,-2132855.0,16.23,15,5,10,0,Bất động sản,8600,,,,,True,-24.57,FAIR,-7,8,-13,5,-3,0,5,0,0,2,-0.03,0,-10,5,0.040000000000000036,0.0,-0.06999999999999995,[industry] petrotimes: Tin nhanh chứng khoán ngày 2 6 VN Index giảm 6 phi (02 Jun 2026) -1.60 | [industry] cafebiz: Vinhomes dừng mở rộng quỹ đất tại Việt Nam khi đan (17 Jun 2026) +1.00 | [macro] znews: Sự ra đời của ngân hàng trung ương đầu tiên trên t (16 Jun 2026) -2.00,-5.03,NEUTRAL,LOW,['UNCLEAR'],"EMA20<EMA50 -15 | Price -25%<EMA200 (oversold) +8 | ADX=53.64 strong +5 | ST=2.63 bearish -5 | RSI=26.27 oversold +15 | MACD hist=-0.06<0 -10 | Stoch K>20.81 cross up +3 | MFI=1.41 weak -6 | OBV divergence -4 | Vol=0.31x avg weak -3 | BB pos=0.0 near lower (oversold) +5 | OF pattern=WEAK -3 | AskWall x3 mức ≥5K cp -3 | BidWall 2.17 (7K cp, -0.5%) +1 | PE=19.52 fair +3 | PB=0.56 below book +5 | ROE=2.13% weak -3 | D/E=1.78 moderate 0 | CFO=194702895 (sector-skip) 0 | RevG-YoY=17.3% good +3 | ProfitG-YoY=-147.8% declining -3 | Market FAIR+uptrend +2 | News NEUTRAL -0.03 [Tin nhanh chứng khoán ngày 2 6 VN Index ... · petrotimes ·  2026]"
DPG,DPG,LOSER,HSX,2026-07-03 13:02,2026-07-03,13:02,35.9,realtime,17500.0,96200.0,-78700.0,0.15,38.57,39.72,31.54,39.13,41.89,-2.9,-6.92,27.39,-0.86,-0.24,-0.62,7.66,15.13,36.47,38.83,41.19,0.95,0.0,2.65,2996203.0,0.1,30.6,1.81,548600.0,302819.0,,,,,5,Bán,nan,2026-Q1,9.55,1.29,4.09,4.49,3928.75,29009.0,1.15,0.03,13.99,9.11,0.99,6.08,25.88,1141522756.0,160384144.0,70425930.0,111489082.0,689.0,1.1627,0.0789,1.1627,0.0789,8125816055.0,2924056154.0,5201759901.0,1064627455.0,2723185044.0,1.779,-780800555.0,-758052140.0,1318543596.0,-1538852695.0,-2.39,6,10,-10,6,Xây dựng và Vật liệu,2300,,,,,True,-14.3,FAIR,-10,10,-7,5,0,0,10,-10,6,2,-0.04,0,-2,6,0.029999999999999805,0.0,-0.06999999999999995,[industry] vietstock: Nghị quyết 09 xác lập các trụ cột để TPHCM phát tr (26 May 2026) +1.56 | [industry] nld: Phát huy vai trò của HĐND trong xây dựng cơ chế độ (28 May 2026) +1.35 | [macro] znews: Sự ra đời của ngân hàng trung ương đầu tiên trên t (16 Jun 2026) -2.00,5.96,NEUTRAL,LOW,['UNCLEAR'],"EMA20<EMA50 -15 | Price -14%<EMA200 (below) +5 | ADX=31.54 strong +5 | ST=39.13 bearish -5 | RSI=27.39 oversold +15 | MACD hist=-0.62<0 -10 | Stoch K=7.66 oversold +5 | MFI=30.6 weak -6 | OBV divergence -4 | Vol=1.81x avg elevated +3 | BB pos=0.0 near lower (oversold) +5 | AskWall 36.00 (6K cp, +0.3%) -2 | BidWall x3 mức ≥5K cp +2 | PE=9.55 very cheap +10 | PB=1.29 fair +3 | ROE=4.09% weak -3 | D/E=1.779 moderate 0 | CFO<0 cash burn -10 | CF quality=-2.39 low -5 | RevG-YoY=116.3% strong +5 | ProfitG-YoY=7.9% positive +1 | Market FAIR+uptrend +2 | News NEUTRAL -0.04 [Nghị quyết 09 xác lập các trụ cột để TPH... · vietstock ·  2026]"
APG,APG,LOSER,HSX,2026-07-03 13:02,2026-07-03,13:02,5.01,realtime,58300.0,86100.0,-27800.0,0.4,5.0,5.2,26.23,5.53,8.26,-3.85,0.2,50.52,0.04,-0.01,0.05,32.55,26.59,4.27,5.02,5.78,0.25,0.49,4.99,-26906200.0,-0.11,49.72,0.51,353500.0,695690.0,,,,,5,Mua,nan,2026-Q1,427.89,0.98,-0.66,0.11,24.42,10653.42,0.81,0.0,89.67,-21.66,nan,nan,0.0,nan,31903492.0,nan,nan,nan,nan,nan,nan,nan,5686582712.0,nan,3004222913.0,nan,nan,nan,-2691273732.0,61686797.0,3018552250.0,-2629586935.0,nan,-13,-3,-10,0,Dịch vụ tài chính,8700,,,,,True,-39.35,FAIR,-7,18,12,0,-3,0,-3,0,0,2,-0.05,0,20,-3,0.020000000000000018,0.0,-0.06999999999999995,[industry] tuoitre: Chứng khoán 2-6: Nên làm gì khi thị trường rơi vào (02 Jun 2026) +2.50 | [industry] vietstock: Thủ tướng: TPHCM phải xử lý dứt điểm dự án chống n (14 Jun 2026) +1.95 | [macro] znews: Sự ra đời của ngân hàng trung ương đầu tiên trên t (16 Jun 2026) -2.00,15.95,NEUTRAL,MEDIUM,[],"EMA20<EMA50 -15 | Price -39%<EMA200 (oversold) +8 | ADX=26.23 strong +5 | ST=5.53 bearish -5 | RSI=50.52 neutral +5 | MACD hist=0.05>0 +10 | Stoch K>26.59 cross up +3 | CMF=-0.11 outflow (oversold) +8 | OBV confirms trend +4 | OF pattern=WEAK -3 | AskWall 5.10 (12K cp, +1.8%) -2 | NoBidWall -1 | PE=427.89 expensive -5 | PB=0.98 below book +5 | ROE=-0.66% weak -3 | CFO=-2691273732 (sector-skip) 0 | Market FAIR+uptrend +2 | News NEUTRAL -0.05 [Chứng khoán 2-6: Nên làm gì khi thị trườ... · tuoitre ·  2026]"
