symbol,group,exchange,time,date,snap_time,price,price_type,intra_buy_vol,intra_sell_vol,intra_delta,intra_buy_ratio,bid_price_1,bid_vol_1,ask_price_1,ask_vol_1,bid_price_2,bid_vol_2,ask_price_2,ask_vol_2,bid_price_3,bid_vol_3,ask_price_3,ask_vol_3,_ta_window,_last_close,ema20,ema50,adx,supertrend,ema200,ema_cross_pct,price_vs_ema20_pct,price_vs_ema200_pct,rsi,macd,macd_sig,macd_hist,stoch_k,stoch_d,bb_lower,bb_mid,bb_upper,atr,bb_position,atr_pct,obv,cmf,mfi,linreg_20,linreg_slope_pct,aroon_osc,donchian_upper_prev,donchian_lower_prev,ad_line,ad_slope_20d_pct,efi_13,willr_14,vol_ma_ratio,vol_today,vol_avg_20d,high_52w,low_52w,roc_10,return_20d,_cached_date,_ta_from_cache,_ta_stale_days,_should_cache,ff_room_raw,ff_total_room_raw,ff_buy_val_5d,ff_sell_val_5d,ff_net_val_5d,ff_net_val_20d,ff_trend,ff_consistency,ff_acceleration,pt_net_val_5d,pt_net_val_20d,pt_trend,insider_count,insider_buy_count,insider_sell_count,insider_name,r_period,r_pe,r_pb,r_roe,r_roa,r_eps,r_bvps,r_beta,r_div_yield,r_gross_margin,r_net_margin,r_quick_ratio,r_interest_cov,r_ev_ebitda,is_revenue,is_gross_profit,is_net_profit,is_operating_profit,is_eps,is_rev_growth,is_profit_growth,is_rev_growth_yoy,is_profit_growth_yoy,eps_consistency,bs_total_assets,bs_equity,bs_total_liab,bs_short_debt,bs_long_debt,bs_debt_to_equity,cf_operating,cf_investing,cf_financing,cf_free,cf_quality_ratio,finance_score,finance_score_fund,finance_score_cf,finance_score_growth,industry,icb_code,organ_short_name,organ_name,vnindex_return_20d,vnindex_return_5d,ff_intra_net,ff_intra_gtgd,ff_intra_ratio,ff_intra_frac,ff_intra_pts,ff_intra_strong_buy,ff_intra_strong_sell,ff_intra_flag_pts,insider_latest,_price_fallback,updated_at
CII,GAINER,HSX,2026-09-25 09:27,2026-09-25,09:27,12.7,realtime,87800.0,128800.0,-41000.0,0.41,12650.0,19600.0,12700.0,38700.0,12600.0,243800.0,12750.0,26300.0,12550.0,235100.0,12800.0,87100.0,12M,12.65,13.36,14.19,24.2,13.94,17.89,-5.85,-5.31,-29.29,31.66,-0.47,-0.07,-0.41,8.22,11.36,11.96,13.58,15.21,0.45,0.21,3.56,-131784800.0,-0.56,24.13,12.35,-4.98,-57.14,15.2,12.55,-924833311.02,-9.85,-726679.44,-95.35,0.04,343500.0,7893610.0,31.35,12.15,-4.53,-13.36,2026-09-25,False,0,True,245801560.0,268794116.0,4.42,13.31,-8.89,-6.44,-0.25,0.25,-1.38,-10716610000.0,-3819770000.0,-0.07,0.0,0.0,0.0,,2026-Q2,85.05,1.01,1.0,0.0,13.0,,,0.0,55.0,9.0,1.16,,16.87,752083390.95,464773704.23,12122464.07,96055410.41,13.0,-0.1,-0.42,0.03,-0.58,-1,43473877977.97,12955822768.87,30518055209.09,6063262035.18,18470814968.4,2.36,-501844470.68,-1360282845.36,,-1862127316.04,-4.05,-19,-5,-10,-4,Xây dựng và Vật liệu,2300,Hạ tầng Kỹ thuật TP.HCM,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,-0.83,-2.15,823305000.0,4707810000.0,0.17,0.06,0,False,False,0,,,2026-09-25 09:28
CMG,GAINER,HSX,2026-09-25 09:27,2026-09-25,09:27,22.65,realtime,1200.0,600.0,600.0,0.67,22650.0,3600.0,22900.0,1200.0,22600.0,700.0,23000.0,2400.0,22550.0,3200.0,23100.0,11100.0,12M,22.65,23.23,24.19,21.56,24.36,28.66,-3.97,-2.5,-20.97,38.63,-0.45,0.01,-0.46,13.35,18.03,22.15,23.28,24.4,0.59,0.22,2.6,-1507560.0,-0.61,41.94,22.48,-1.64,-64.29,24.9,22.5,-12577468.85,-13.05,-6152.68,-89.66,0.04,5200.0,125270.0,39.0,22.2,-3.0,-6.02,2026-09-25,False,0,True,31845670.0,116477304.0,0.49,2.56,-2.07,-5.74,0.03,0.31,-0.06,-47345000.0,-47345000.0,,0.0,0.0,0.0,,2026-Q2,14.25,1.68,12.0,4.0,322.0,,,0.0,18.0,5.0,1.36,,9.51,2323243675.18,415445800.77,75074096.4,120631913.59,322.0,-0.02,-0.2,0.05,-0.2,-1,10769089838.85,4192679454.82,6576410384.03,1515315059.91,2304232434.55,1.57,621000858.93,-2591112914.07,,-1970112055.14,1.57,16,10,10,-4,Công nghệ Thông tin,9500,Tập đoàn Công nghệ CMC,Công ty Cổ phần Tập đoàn Công nghệ CMC,-0.83,-2.15,-101925000.0,117780000.0,-0.87,0.06,0,False,False,0,,,2026-09-25 09:28
CTD,GAINER,HSX,2026-09-25 09:27,2026-09-25,09:27,58.5,realtime,0.0,1300.0,-1300.0,0.0,58500.0,2700.0,58800.0,5500.0,58400.0,100.0,58900.0,3200.0,58300.0,500.0,59000.0,6400.0,12M,58.5,59.51,61.89,26.04,61.58,70.19,-3.85,-1.7,-16.65,37.87,-1.03,0.03,-1.05,32.34,31.01,56.2,59.79,63.38,1.21,0.32,2.07,-6427038.0,-0.43,25.47,57.29,-1.3,-50.0,64.3,56.8,-10171565.32,-19.99,-29919.59,-66.67,0.01,1400.0,217365.0,92.78,54.7,0.86,-6.7,2026-09-25,False,0,True,3748441.0,57013233.0,6.6,9.13,-2.53,-9.01,0.03,0.56,0.06,431680000.0,-1803310000.0,0.03,0.0,0.0,0.0,,2026-Q2,8.96,0.73,8.0,2.0,721.0,,,0.0,4.0,2.0,0.97,,10.31,10471181365.1,465987309.58,146276982.43,197699254.85,721.0,0.63,0.23,0.27,-0.27,-1,38750874266.15,9651883682.24,29098990583.92,4401304582.53,1541672975.38,3.02,-830902274.3,-2196201142.45,,-3027103416.74,-1.06,15,15,-10,10,Xây dựng và Vật liệu,2300,Xây dựng Coteccons,Công ty Cổ phần Xây dựng Coteccons,-0.83,-2.15,0.0,81900000.0,0.0,0.06,0,False,False,0,,,2026-09-25 09:28
CTG,GAINER,HSX,2026-09-25 09:27,2026-09-25,09:27,30.25,realtime,130800.0,138000.0,-7200.0,0.49,30200.0,34200.0,30250.0,35100.0,30150.0,83500.0,30300.0,27200.0,30100.0,61600.0,30350.0,20400.0,12M,30.2,30.8,31.33,12.47,31.62,33.39,-1.69,-1.95,-9.55,42.59,-0.27,-0.03,-0.25,31.71,42.33,29.62,30.86,32.1,0.61,0.23,2.02,91610686.0,-0.19,34.3,30.21,-0.5,28.57,32.35,29.7,-328308092.11,-9.16,-1020062.02,-75.0,0.05,382900.0,7713020.0,42.84,28.4,0.83,-4.13,2026-09-25,False,0,True,420617868.0,2330083391.0,236.8,460.54,-225.64,-274.93,0.28,0.38,-27.94,-3347855000.0,-46096588000.0,0.08,0.0,0.0,0.0,,2026-Q2,6.16,1.24,22.0,1.0,0.0,,,0.0,71.0,41.0,0.0,,0.0,26384590000.0,,11740060000.0,20029027000.0,0.0,0.05,0.32,0.26,0.21,1,2962003670000.0,200214302000.0,2761789368000.0,,,13.79,82644000000.0,-1915192000.0,-2416496000.0,80728808000.0,2.39,34,18,10,6,Ngân hàng,8300,VietinBank,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,-0.83,-2.15,-5635595000.0,12727845000.0,-0.44,0.06,0,False,False,0,,,2026-09-25 09:28
CTR,LOSER,HSX,2026-09-25 09:27,2026-09-25,09:27,74.1,realtime,1100.0,900.0,200.0,0.55,73900.0,100.0,74100.0,700.0,73800.0,1100.0,74200.0,600.0,73700.0,700.0,74300.0,400.0,12M,73.9,73.71,74.14,20.67,75.74,75.93,-0.58,0.26,-2.67,50.1,-0.48,-0.03,-0.45,49.62,31.16,71.02,74.0,76.97,1.39,0.48,1.88,2742931.0,0.16,46.97,72.07,-0.6,-85.71,77.3,71.3,1086232.03,126.75,98825.42,-38.1,0.02,3200.0,204245.0,99.12,65.5,-0.14,-2.12,2026-09-25,False,0,True,55331307.0,62773671.0,10.43,5.93,4.5,8.76,0.15,0.5,0.35,-741470000.0,-1722340000.0,0.02,0.0,0.0,0.0,,2026-Q2,14.88,4.34,30.0,8.0,1503.0,,,0.0,7.0,4.0,1.08,,9.74,4154012949.19,258279613.09,171853143.25,210629934.47,1503.0,0.09,0.15,0.28,0.18,1,9787635357.76,2243981908.47,7543653449.29,2545906642.08,400987821.47,3.36,1455415537.45,-1030982854.84,,424432682.61,2.43,23,9,10,4,Xây dựng và Vật liệu,2300,Công trình Viettel,Tổng Công ty Cổ phần Công trình Viettel,-0.83,-2.15,14920000.0,237020000.0,0.06,0.06,0,False,False,0,,,2026-09-25 09:28
CTS,GAINER,HSX,2026-09-25 09:27,2026-09-25,09:27,21.6,realtime,8700.0,6500.0,2200.0,0.57,21500.0,700.0,21550.0,2800.0,21450.0,500.0,21600.0,1600.0,21400.0,6900.0,21650.0,2900.0,12M,21.55,21.96,22.52,14.29,23.63,24.09,-2.49,-1.87,-10.54,42.98,-0.33,-0.02,-0.32,29.01,27.57,20.77,22.14,23.51,0.75,0.29,3.48,-22335440.0,-0.38,33.67,21.18,-2.6,-35.71,24.0,20.8,-66457066.73,-17.11,-21303.73,-64.29,0.02,27700.0,1372330.0,36.49,19.1,0.23,-5.9,2026-09-25,False,0,True,132214214.0,133400020.0,4.92,4.15,0.77,4.43,-0.03,0.56,-0.12,-77160000.0,-77160000.0,,0.0,0.0,0.0,,2026-Q2,16.83,2.21,13.0,3.0,-11.0,,,0.0,64.0,21.0,1.3,,14.43,357099001.62,197870077.43,15436425.57,,-11.0,0.01,-0.77,-0.38,-0.91,-1,12247526020.61,2866018854.54,9381507166.07,8302994373.17,0.0,3.27,-1649039897.17,-10137330.3,,-1659177227.47,-2.86,-9,3,-10,-2,Dịch vụ tài chính,8700,Chứng khoán Vietinbank,Công ty Cổ phần Chứng khoán Vietinbank,-0.83,-2.15,-183755000.0,599085000.0,-0.31,0.06,0,False,False,0,,,2026-09-25 09:28
DBC,LOSER,HSX,2026-09-25 09:27,2026-09-25,09:27,15.7,realtime,20800.0,22000.0,-1200.0,0.49,15700.0,1900.0,15750.0,19800.0,15650.0,54400.0,15800.0,9100.0,15600.0,29400.0,15850.0,28400.0,12M,15.7,16.19,16.7,30.1,16.55,19.79,-3.05,-3.03,-20.67,35.34,-0.26,-0.05,-0.21,15.46,19.07,15.19,16.41,17.63,0.31,0.21,1.97,-72291159.0,-0.39,22.92,15.48,-4.16,-35.71,17.75,15.55,-223891434.24,-4.33,-24315.17,-89.29,0.04,63600.0,1631075.0,26.11,15.45,-1.88,-11.3,2026-09-25,False,0,True,206021480.0,211212784.0,0.26,2.92,-2.67,-15.23,0.13,0.06,0.42,-1534925000.0,-2273000000.0,-0.08,2.0,2.0,0.0,Lê Quốc Đoàn,2026-Q2,6.61,0.9,14.0,7.0,671.0,,,0.0,15.0,7.0,0.77,,6.63,4252838438.04,653379849.61,289119880.38,317422428.42,671.0,0.03,-0.23,0.11,-0.43,-1,17734348379.64,8521240846.28,9213107533.36,5609854350.4,1631306209.98,1.08,1292366415.77,-1400072951.6,,-107706535.83,0.86,18,15,5,-2,Thực phẩm và đồ uống,3500,Tập đoàn DABACO,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,-0.83,-2.15,-21980000.0,1316020000.0,-0.02,0.06,0,False,False,0,Mua,,2026-09-25 09:28
DCM,LOSER,HSX,2026-09-25 09:27,2026-09-25,09:27,33.95,realtime,50700.0,48500.0,2200.0,0.51,33850.0,900.0,33900.0,1900.0,33800.0,13000.0,33950.0,11300.0,33750.0,6000.0,34000.0,19500.0,12M,33.85,32.98,32.72,26.6,31.67,34.55,0.79,2.64,-2.03,59.76,0.65,0.13,0.52,79.69,85.18,30.8,32.8,34.79,0.87,0.76,2.57,37100366.0,0.01,82.37,34.26,2.64,85.71,34.9,30.75,-65758763.63,0.68,623541.58,-32.81,0.04,122200.0,3460370.0,50.01,28.5,4.15,9.72,2026-09-25,False,0,True,230886114.0,259406000.0,125.79,36.48,89.31,134.31,1.13,0.69,9.47,7130735000.0,9223630000.0,0.07,0.0,0.0,0.0,,2026-Q2,6.33,1.44,24.0,14.0,1928.0,,,0.0,28.0,14.0,1.41,,5.37,6706418181.19,2100147665.51,1064685899.93,1185228920.33,1928.0,0.27,0.35,0.11,0.35,1,21832543396.61,11495109218.54,10337434178.07,3565667131.11,24190374.35,0.9,-775841653.06,2590122240.86,,1814280587.8,-0.4,18,18,-10,10,Hóa chất,1300,Đạm Cà Mau,Công ty Cổ phần - Tổng Công ty Phân bón Dầu Khí Cà Mau,-0.83,-2.15,-397800000.0,4893685000.0,-0.08,0.06,0,False,False,0,,,2026-09-25 09:28
DGW,LOSER,HSX,2026-09-25 09:27,2026-09-25,09:27,45.6,realtime,8700.0,6700.0,2000.0,0.56,45450.0,200.0,45550.0,400.0,45400.0,100.0,45650.0,1000.0,45300.0,300.0,45700.0,200.0,12M,45.55,44.23,42.33,25.42,41.0,41.82,4.49,2.98,8.92,59.81,1.33,0.01,1.32,84.11,82.79,40.08,43.96,47.83,1.64,0.71,3.6,35825523.0,-0.02,67.75,46.54,3.45,85.71,47.0,39.55,13038710.13,-6.95,857328.15,-24.37,0.01,25200.0,2055950.0,56.53,31.45,2.59,7.68,2026-09-25,False,0,True,49327381.0,109524882.0,116.06,64.07,52.0,258.15,0.2,0.81,-5.73,-225300000.0,122655000.0,-0.02,10.0,10.0,0.0,Lê Khả Tú,2026-Q2,11.16,2.51,24.0,8.0,2304.0,,,0.0,10.0,3.0,0.71,,9.37,7273329200.61,943207106.19,309314820.67,382228860.99,2304.0,-0.14,0.54,0.27,1.67,1,12537467113.07,3758704969.46,8778762143.61,3214509038.6,0.0,2.34,-42388528.78,-14167674.59,,-56556203.37,-0.08,4,12,-10,2,Bán lẻ,5300,Thế Giới Số,Công ty Cổ phần Thế Giới Số,-0.83,-2.15,-441970000.0,1181975000.0,-0.37,0.06,0,False,False,0,Mua,,2026-09-25 09:28
DIG,GAINER,HSX,2026-09-25 09:27,2026-09-25,09:27,9.86,realtime,18500.0,34400.0,-15900.0,0.35,9860.0,21000.0,9870.0,56900.0,9850.0,1900.0,9880.0,27900.0,9840.0,300.0,9890.0,20400.0,12M,9.86,10.13,10.47,13.41,10.55,13.39,-3.25,-2.67,-26.36,38.5,-0.13,-0.03,-0.1,5.41,13.5,9.63,10.25,10.87,0.26,0.19,2.64,-194706573.0,0.08,21.44,9.79,-3.62,-85.71,10.94,9.83,-420701907.29,1.45,-93031.96,-96.1,0.02,75000.0,4367133.0,23.68,8.82,-1.89,-7.94,2026-09-25,False,0,True,370784483.0,390251283.0,15.1,5.41,9.69,-5.0,0.12,0.44,2.25,48691000.0,48691000.0,,9.0,0.0,9.0,Nguyễn Thị Thanh Huyền,2026-Q2,10.98,0.91,8.0,4.0,0.0,,,0.0,21.0,15.0,1.23,,10.37,613248088.04,42024030.59,139566788.49,151020435.32,0.0,3.24,22.2,1.25,1.09,1,20486397478.85,10181173443.16,10305224035.68,695671800.8,626247495.74,1.01,2167807434.95,171856528.65,,2339663963.6,3.35,32,12,10,10,Bất động sản,8600,DIC Corp,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,-0.83,-2.15,-450323000.0,1025265000.0,-0.44,0.06,0,False,False,0,Bán,,2026-09-25 09:28
DPM,GAINER,HSX,2026-09-25 09:27,2026-09-25,09:27,22.75,realtime,13000.0,26400.0,-13400.0,0.33,22750.0,34700.0,22800.0,55100.0,22700.0,46000.0,22850.0,56000.0,22650.0,12200.0,22900.0,57700.0,12M,22.75,22.64,22.47,13.77,21.4,23.11,0.76,0.49,-1.56,52.95,0.2,-0.01,0.21,53.85,56.13,21.94,22.67,23.4,0.54,0.55,2.37,28376923.0,-0.12,57.09,22.95,-0.07,14.29,23.75,21.8,-173504958.11,-5.13,176243.11,-51.28,0.01,52000.0,3717165.0,33.52,20.18,1.56,2.94,2026-09-25,False,0,True,316419597.0,339995380.0,32.49,39.04,-6.55,12.21,-0.4,0.31,-2.07,6274710000.0,3444102000.0,0.21,0.0,0.0,0.0,,2026-Q2,8.53,1.33,16.0,10.0,1238.0,,,0.0,20.0,9.0,1.88,,8.0,6985757951.12,1664679619.22,905927679.08,1091064919.13,1238.0,0.24,1.25,0.32,1.25,1,18496161490.29,11545189828.85,6950971661.44,3231724900.07,0.0,0.6,-1781033031.79,1802349664.03,,21316632.24,-1.66,16,16,-10,10,Hóa chất,1300,Tổng Công ty Phân bón và Hóa chất Dầu khí,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,-0.83,-2.15,-27300000.0,1331500000.0,-0.02,0.06,0,False,False,0,,,2026-09-25 09:28
DSE,LOSER,HSX,2026-09-25 09:27,2026-09-25,09:27,21.95,realtime,83000.0,85400.0,-2400.0,0.49,21950.0,15800.0,22000.0,22400.0,21900.0,37100.0,22050.0,20300.0,21850.0,20600.0,22100.0,12200.0,12M,21.95,22.25,22.36,11.48,22.88,22.94,-0.49,-1.35,-4.32,41.97,-0.11,-0.03,-0.07,33.33,37.08,21.53,22.35,23.16,0.32,0.26,1.46,5846513.0,-0.18,37.75,21.88,-0.89,28.57,23.35,21.7,-3047701.33,-127.89,-15539.07,-73.68,0.39,198200.0,511775.0,28.2,20.45,0.69,-4.77,2026-09-25,False,0,True,383223671.0,428249806.0,5.78,13.66,-7.88,-24.1,0.09,0.31,-0.07,-187635000.0,-183135000.0,0.03,1.0,0.0,1.0,nan,2026-Q2,36.76,1.83,5.0,2.0,0.0,,,0.0,34.0,13.0,1.6,,38.83,453085814.35,182621627.86,81800782.49,,0.0,0.15,6.22,0.56,0.12,1,15207601983.12,5440246337.41,9767355645.71,8175031660.13,59249344.1,1.79,-4656101036.69,-15565471.96,,-4671666508.65,-17.08,-4,-2,-10,8,Dịch vụ tài chính,8700,Chứng Khoán DNSE,Công ty Cổ phần Chứng khoán DNSE,-0.83,-2.15,-881000000.0,4368855000.0,-0.2,0.06,0,False,False,0,Bán,,2026-09-25 09:28
DXG,GAINER,HSX,2026-09-25 09:27,2026-09-25,09:27,10.2,realtime,62600.0,90000.0,-27400.0,0.41,10150.0,142700.0,10200.0,210100.0,10100.0,376800.0,10250.0,667700.0,10050.0,597700.0,10300.0,375100.0,12M,10.2,10.84,11.23,21.68,11.29,13.1,-3.47,-5.9,-22.14,32.82,-0.28,-0.09,-0.19,9.93,13.64,9.84,11.08,12.33,0.38,0.15,3.73,99273904.0,0.12,15.55,10.1,-6.72,-92.86,12.15,10.1,-144238919.6,13.9,-1032557.72,-93.33,0.02,233300.0,10334745.0,20.61,9.76,-5.12,-13.56,2026-09-25,False,0,True,434545030.0,634926225.0,9.98,41.27,-31.3,-311.99,4.39,0.19,13.24,-512620000.0,12842000.0,-0.23,4.0,1.0,3.0,nan,2026-Q2,76.92,1.07,1.0,1.0,42.0,,,0.0,49.0,11.0,1.24,,35.89,787617673.14,362517405.02,53076816.28,9130637.45,42.0,-0.42,0.4,0.07,-0.35,-1,39769040832.79,21113456438.94,18655584393.85,2306061584.84,2860772912.87,0.88,1389860909.26,-1062400766.12,,327460143.14,6.02,7,-5,10,2,Bất động sản,8600,Bluemarq Group,Công ty Cổ phần Bluemarq Group,-0.83,-2.15,0.0,2375225000.0,0.0,0.06,0,False,False,0,Bán,,2026-09-25 09:28
EIB,LOSER,HSX,2026-09-25 09:27,2026-09-25,09:27,16.4,realtime,34200.0,14400.0,19800.0,0.7,16400.0,43200.0,16450.0,32800.0,16350.0,80300.0,16500.0,27600.0,16300.0,96400.0,16550.0,71900.0,12M,16.4,16.65,17.5,38.96,17.47,20.27,-4.86,-1.5,-19.09,39.4,-0.33,0.06,-0.39,50.0,45.91,15.81,16.65,17.49,0.39,0.35,2.38,-199103400.0,-0.45,45.12,16.11,-0.83,-35.71,17.7,15.8,-458156027.0,-8.45,-134866.5,-50.0,0.01,57900.0,4220505.0,27.4,15.8,-2.38,-4.93,2026-09-25,False,0,True,541700826.0,560090574.0,28.89,47.93,-19.04,-41.76,-0.21,0.31,-1.2,-838265000.0,-3070200000.0,0.01,0.0,0.0,0.0,,2026-Q2,65.71,1.22,2.0,0.0,0.0,,,0.0,39.0,7.0,0.0,,0.0,1821159000.0,,250491000.0,819384000.0,0.0,0.19,-0.07,-0.07,-0.51,-1,266067927000.0,26487794000.0,239580133000.0,,,9.04,13948657000.0,-402696000.0,0.0,13545961000.0,12.27,7,-5,10,2,Ngân hàng,8300,Eximbank,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,-0.83,-2.15,-154825000.0,1002720000.0,-0.15,0.06,0,False,False,0,,,2026-09-25 09:28
EVF,GAINER,HSX,2026-09-25 09:27,2026-09-25,09:27,11.65,realtime,52000.0,7600.0,44400.0,0.87,11600.0,15600.0,11650.0,44600.0,11550.0,15900.0,11700.0,4000.0,11500.0,32000.0,11750.0,12000.0,12M,11.65,11.82,12.2,33.4,12.2,12.58,-3.11,-1.44,-7.39,40.46,-0.23,-0.0,-0.23,49.53,41.24,11.15,11.88,12.61,0.28,0.34,2.4,-11706200.0,0.01,29.91,11.34,-2.01,-35.71,12.7,10.9,-102192198.24,0.26,-2711.7,-37.5,0.04,62600.0,1415960.0,15.25,10.6,-0.43,-6.8,2026-09-25,False,0,True,112050348.0,114084870.0,4.29,2.42,1.87,3.12,0.06,0.44,0.18,-1517355000.0,-1480635000.0,-0.04,0.0,0.0,0.0,,2026-Q2,9.86,0.92,10.0,1.0,373.0,,,0.0,87.0,42.0,0.0,,0.0,627496000.0,,289593000.0,544818000.0,373.0,0.29,0.09,0.08,0.2,1,91756291000.0,10414625000.0,81341666000.0,,,7.81,1546431000.0,-107290000.0,-828000.0,1439141000.0,1.73,31,15,10,6,Dịch vụ tài chính,8700,Tài chính Tổng hợp Điện lực,Công ty Tài chính Tổng hợp Cổ phần Điện Lực,-0.83,-2.15,-20970000.0,735385000.0,-0.03,0.06,0,False,False,0,,,2026-09-25 09:28
FPT,GAINER,HSX,2026-09-25 09:27,2026-09-25,09:27,65.5,realtime,61500.0,67300.0,-5800.0,0.48,65300.0,7800.0,65400.0,12500.0,65200.0,23500.0,65500.0,9000.0,65100.0,17700.0,65600.0,1800.0,12M,65.4,65.73,65.06,20.31,62.84,72.43,1.03,-0.5,-9.71,49.65,0.44,-0.22,0.66,20.0,32.96,64.78,66.13,67.48,1.37,0.23,2.09,-244751359.0,-0.06,45.58,66.13,-1.31,-7.14,68.0,64.27,-483088991.89,-1.6,-1083419.82,-86.67,0.03,165500.0,6463087.0,97.48,55.91,-1.04,1.76,2026-09-25,False,0,True,350551314.0,840019946.0,959.94,1011.99,10.91,922.61,-4.65,0.69,-55.48,-31454680000.0,-177549550000.0,0.44,0.0,0.0,0.0,,2026-Q2,12.38,3.11,26.0,13.0,1507.0,,,0.0,35.0,17.0,1.52,,10.95,13788503461.2,4279744280.21,2567587014.43,2885709265.08,1507.0,0.1,0.03,-0.17,0.14,1,73563105859.5,40995680808.26,32567425051.24,16368916886.52,2080610610.53,0.79,10136043915.91,-11624743591.63,,-1488699675.72,1.08,23,9,10,4,Công nghệ Thông tin,9500,FPT Corp,Công ty Cổ phần FPT,-0.83,-2.15,-4132180000.0,11850000000.0,-0.35,0.06,0,False,False,0,,,2026-09-25 09:28
FRT,LOSER,HSX,2026-09-25 09:27,2026-09-25,09:27,140.7,realtime,3500.0,3700.0,-200.0,0.49,140000.0,7200.0,140700.0,1400.0,139600.0,300.0,141400.0,200.0,139100.0,200.0,141500.0,700.0,12M,140.0,136.42,133.84,21.94,145.41,136.16,1.93,2.62,2.82,55.9,0.24,0.14,0.1,83.3,61.4,125.9,137.39,148.88,4.94,0.61,3.53,12943801.0,0.04,70.26,132.27,1.23,57.14,146.5,127.5,23746277.28,1.29,1666616.45,-19.87,0.02,8400.0,424080.0,172.38,100.2,2.19,-3.45,2026-09-25,False,0,True,28117889.0,87619376.0,159.78,260.38,-100.6,-140.56,-1.65,0.38,-11.33,-11303360000.0,-29113351000.0,0.21,2.0,1.0,1.0,,2026-Q2,22.47,5.32,28.0,5.0,1830.0,,,0.0,20.0,2.0,0.49,,17.22,15626000269.58,3160752657.79,341489101.47,558834559.05,1830.0,0.03,0.19,0.37,1.88,1,27261459573.16,5964413550.24,21297046022.92,13075069438.71,0.0,3.57,2747326553.03,-5263902409.53,,-2516575856.5,3.46,19,5,10,4,Bán lẻ,5300,Bán lẻ FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,-0.83,-2.15,-650000.0,1339200000.0,-0.0,0.06,0,False,False,0,Mua,,2026-09-25 09:28
FTS,GAINER,HSX,2026-09-25 09:27,2026-09-25,09:27,20.1,realtime,5900.0,22500.0,-16600.0,0.21,20100.0,18000.0,20200.0,1000.0,20050.0,20700.0,20250.0,400.0,20000.0,25300.0,20300.0,5700.0,12M,20.1,20.99,22.0,23.71,21.92,25.22,-4.59,-4.24,-20.3,36.54,-0.57,-0.04,-0.53,8.69,14.9,19.33,21.2,23.06,0.63,0.21,3.13,-24536028.0,-0.39,26.91,19.84,-3.32,-57.14,23.0,20.0,-55174218.89,-9.72,-63792.31,-95.24,0.05,31400.0,672780.0,33.4,19.7,-2.19,-10.67,2026-09-25,False,0,True,287400542.0,381145750.0,4.43,2.38,2.05,3.1,-0.01,0.44,0.22,5130000.0,-34445000.0,0.0,0.0,0.0,0.0,,2026-Q2,20.41,1.94,10.0,3.0,0.0,,,0.0,46.0,31.0,1.42,,26.79,309465710.18,123044619.84,78047349.72,,0.0,-0.18,-0.51,0.29,0.29,1,14555802815.52,4434343344.97,10121459470.55,9918000000.0,0.0,2.28,-876034905.6,-5653201.31,,-881688106.91,-2.21,-10,6,-10,-6,Dịch vụ tài chính,8700,Chứng khoán FPT,Công ty Cổ phần Chứng khoán FPT,-0.83,-2.15,-24840000.0,672220000.0,-0.04,0.06,0,False,False,0,,,2026-09-25 09:28
GAS,GAINER,HSX,2026-09-25 09:27,2026-09-25,09:27,82.3,realtime,12800.0,10900.0,1900.0,0.54,82300.0,1900.0,82400.0,900.0,82200.0,1200.0,82500.0,6000.0,82100.0,1000.0,82600.0,1000.0,12M,82.4,82.98,79.92,31.95,78.51,78.04,3.83,-0.7,5.59,51.07,1.77,-0.56,2.33,27.74,40.69,78.86,83.46,88.06,2.83,0.38,3.43,35985845.0,-0.27,58.41,85.45,0.2,50.0,90.38,79.78,-26324656.13,-50.19,-133769.81,-80.52,0.02,36900.0,1733593.0,127.79,54.42,2.28,1.54,2026-09-25,False,0,True,1131253770.0,1182345380.0,62.85,66.78,-3.93,133.54,0.58,0.5,-9.13,10164910000.0,27063798000.0,0.03,0.0,0.0,0.0,,2026-Q2,16.42,2.95,19.0,13.0,2389.0,,,0.0,13.0,8.0,2.68,,11.27,43249135951.69,7793394809.4,5860096460.01,7452881966.59,2389.0,0.14,0.99,0.44,0.23,1,102853960066.18,70285731045.34,32568229020.84,1781436962.37,1148324118.2,0.46,13040237870.14,-6468619501.02,,6571618369.12,1.14,24,6,10,8,"Điện, nước & xăng dầu khí đốt",7500,PV Gas,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,-0.83,-2.15,41100000.0,3642680000.0,0.01,0.06,0,False,False,0,,,2026-09-25 09:28
