symbol,group,exchange,time,date,snap_time,price,price_type,intra_buy_vol,intra_sell_vol,intra_delta,intra_buy_ratio,bid_price_1,bid_vol_1,ask_price_1,ask_vol_1,bid_price_2,bid_vol_2,ask_price_2,ask_vol_2,bid_price_3,bid_vol_3,ask_price_3,ask_vol_3,_ta_window,_last_close,ema20,ema50,adx,supertrend,ema200,ema_cross_pct,price_vs_ema20_pct,price_vs_ema200_pct,rsi,macd,macd_sig,macd_hist,stoch_k,stoch_d,bb_lower,bb_mid,bb_upper,atr,bb_position,atr_pct,obv,cmf,mfi,linreg_20,linreg_slope_pct,aroon_osc,donchian_upper_prev,donchian_lower_prev,ad_line,ad_slope_20d_pct,efi_13,willr_14,vol_ma_ratio,vol_today,vol_avg_20d,high_52w,low_52w,roc_10,return_20d,_cached_date,_ta_from_cache,_ta_stale_days,_should_cache,ff_room,ff_room_max_pct,ff_room_raw,ff_total_room_raw,ff_buy_val_5d,ff_sell_val_5d,ff_net_val_5d,ff_net_val_20d,ff_trend,ff_consistency,ff_acceleration,pt_net_val_5d,pt_net_val_20d,insider_buy_count,insider_sell_count,insider_count,insider_latest,insider_name,r_period,r_pe,r_pb,r_roe,r_roa,r_eps,r_bvps,r_beta,r_div_yield,r_gross_margin,r_net_margin,r_quick_ratio,r_interest_cov,r_ev_ebitda,is_revenue,is_gross_profit,is_net_profit,is_operating_profit,is_eps,is_rev_growth,is_profit_growth,is_rev_growth_yoy,is_profit_growth_yoy,eps_consistency,bs_total_assets,bs_equity,bs_total_liab,bs_short_debt,bs_long_debt,bs_debt_to_equity,cf_operating,cf_investing,cf_financing,cf_free,cf_quality_ratio,finance_score,finance_score_fund,finance_score_cf,finance_score_growth,industry,icb_code,vnindex_return_20d,vnindex_return_5d,pt_trend,updated_at
TCH,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,13.9,realtime,129600.0,150300.0,-20700.0,0.46,13850.0,35700.0,13900.0,39700.0,13800.0,43100.0,13950.0,33700.0,13750.0,85800.0,14000.0,147200.0,12M,13.9,14.41,15.08,30.87,15.02,17.34,-4.44,-3.54,-19.84,36.87,-0.41,-0.02,-0.38,24.71,22.1,13.52,14.49,15.46,0.43,0.2,3.09,-22240241.0,-0.2,25.76,13.76,-4.19,-71.43,15.9,13.45,25246947.27,-36.87,-317420.22,-73.53,0.33,1293200.0,3887090.0,25.0,12.85,-2.46,-7.02,2026-07-10,False,0,True,0.0,51.0,372967334.0,465175704.0,11.85,32.19,-20.34,-157.37,1.35,0.21,4.21,-513851000.0,-530261000.0,0,6,6,Bán,,2026-Q4,46.56,1.04,0.37,1.82,475.73,21356.0,1.67,0.0,7.49,16.21,1.33,3245.9,0.0,345980.49,89478.99,40214.42,69615.52,,-0.11,0.06,,,,,,,,,,1467691.98,-872548.91,187579.71,595143.06,1.72,3,-5,10,-2,Bất động sản,8600,2.37,-1.5,0.02,2026-07-10 13:26
HCM,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,28.25,realtime,135800.0,71400.0,64400.0,0.66,28200.0,3500.0,28250.0,40500.0,28150.0,33000.0,28300.0,33300.0,28100.0,41100.0,28350.0,62300.0,12M,28.25,27.91,27.39,12.46,29.11,25.73,1.9,1.22,9.79,53.95,0.21,0.05,0.15,58.87,60.76,26.62,27.85,29.08,0.8,0.66,2.83,294177038.0,-0.11,52.08,28.17,1.0,50.0,29.15,26.8,-435638770.33,-2.04,361453.51,-38.3,0.29,1240900.0,4265660.0,30.45,19.1,5.02,4.63,2026-07-10,False,0,True,0.0,49.0,158191506.0,529590573.0,69.77,22.07,47.7,72.1,0.78,0.63,5.75,550044000.0,-10176437000.0,13,7,20,Bán,Nguyễn Thị Hoàng Lan,2026-Q1,15.25,1.66,2.53,3.01,1468.91,13466.41,1.42,4.0,39.2,22.81,,,0.0,,357894.69,,,,,,,,,,,,,,,-11715421.27,-18014.33,13411053.09,-11733435.6,,-7,3,-10,0,Dịch vụ tài chính,8700,2.37,-1.5,0.12,2026-07-10 13:26
HAG,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,14.6,realtime,149700.0,109500.0,40200.0,0.58,14550.0,53700.0,14600.0,89700.0,14500.0,169000.0,14650.0,172800.0,14450.0,60300.0,14700.0,154900.0,12M,14.6,14.98,15.32,25.69,15.23,15.98,-2.22,-2.54,-8.64,34.1,-0.2,-0.03,-0.17,7.2,9.3,14.58,15.0,15.42,0.24,0.02,1.64,269568000.0,0.07,17.88,14.73,-1.71,-50.0,15.45,14.5,74734095.15,5.13,-102292.56,-87.5,0.14,372000.0,2650715.0,19.25,13.25,-2.67,-4.26,2026-07-10,False,0,True,0.0,49.0,597978801.0,621059294.0,0.3,1.67,-1.37,-15.7,-0.06,0.21,0.55,-6257447000.0,-6257447000.0,4,0,4,Mua,Đoàn Nguyên Đức,2026-Q1,9.2,1.57,6.38,8.13,1907.98,11192.0,0.92,0.0,30.82,50.66,0.79,-0.03,45.74,2329411.71,887648.56,483037.16,525896.86,457.0,0.69,0.42,0.69,0.42,1.0,,,,,,,940458.06,-3535700.82,3125062.75,-2595242.76,0.44,23,13,0,10,Thực phẩm và đồ uống,3500,2.37,-1.5,-1.24,2026-07-10 13:26
MBB,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,24.75,realtime,307000.0,101100.0,205900.0,0.75,24700.0,172300.0,24750.0,131800.0,24650.0,160800.0,24800.0,402800.0,24600.0,712800.0,24850.0,117800.0,12M,24.75,24.4,24.43,18.35,23.84,24.47,-0.12,1.43,1.14,57.27,0.15,0.09,0.07,75.23,77.55,23.55,24.29,25.03,0.35,0.81,1.41,531607210.0,-0.07,62.0,24.7,1.24,57.14,25.14,23.7,-906330400.18,-1.87,923499.64,-27.08,0.32,4168800.0,12910988.0,28.36,19.09,3.99,3.6,2026-07-10,False,0,True,0.0,23.24,86230028.0,1871587283.0,243.62,247.07,-3.44,-543.44,4.11,0.26,27.91,-115093538000.0,-248914471000.0,3,1,4,Mua,nan,2026-Q1,6.36,1.43,6.37,1.99,3980.45,17631.6,1.17,1.0,,,,,,,,,,,,,,,,,,,,,,137357399.0,904900.0,3957417.0,138262299.0,,18,13,5,0,Ngân hàng,8300,2.37,-1.5,-2.13,2026-07-10 13:26
SIP,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,49.7,realtime,5500.0,4500.0,1000.0,0.55,49600.0,800.0,49700.0,3000.0,49550.0,200.0,49750.0,5000.0,49500.0,1700.0,49800.0,5500.0,12M,49.7,50.3,51.54,25.47,51.33,52.97,-2.41,-1.19,-6.17,36.34,-0.59,0.04,-0.63,14.71,12.24,49.1,50.33,51.57,0.67,0.24,1.35,-2253062.0,-0.51,21.79,49.42,-1.26,-100.0,52.5,49.5,-9655618.69,-16.63,-10697.25,-75.86,0.09,12800.0,140705.0,63.15,45.83,-0.8,-4.42,2026-07-10,False,0,True,0.0,49.0,113054883.0,118635342.0,0.45,1.62,-1.17,-3.87,0.0,0.32,-0.03,-14955000.0,-14955000.0,2,2,4,Bán,Trần Mạnh Hùng,2026-Q1,8.53,2.18,6.13,4.96,6169.06,24181.0,1.05,3.0,16.9,17.4,2.81,12.38,23.52,2129450.58,290783.04,308756.6,367352.51,1275.0,0.1,-0.12,0.1,-0.12,-1.0,,,,,,,2439820.76,-3049744.66,808924.7,-609923.9,1.84,18,10,10,-2,Bất động sản,8600,2.37,-1.5,,2026-07-10 13:26
HT1,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,13.35,realtime,14000.0,4600.0,9400.0,0.75,13200.0,4000.0,13350.0,9600.0,13150.0,6800.0,13400.0,11800.0,13100.0,6200.0,13450.0,1700.0,12M,13.35,13.48,13.88,36.33,13.93,15.17,-2.88,-0.96,-12.0,43.88,-0.18,-0.01,-0.17,29.55,23.11,13.07,13.54,14.01,0.27,0.3,2.02,5644444.0,-0.1,20.61,13.21,-2.25,-78.57,14.0,12.95,4622672.23,-6.07,-2342.8,-52.94,0.12,18600.0,158685.0,21.0,12.78,-2.2,-1.84,2026-07-10,False,0,True,0.0,49.0,179029325.0,186979056.0,0.27,0.04,0.23,2.41,0.0,0.63,-0.08,-923439000.0,-923439000.0,7,13,20,Bán,Nguyễn Quốc Huy,2026-Q1,23.0,1.24,1.68,3.43,717.35,13336.0,1.09,1.0,13.81,4.29,0.4,16.63,10.0,1930886.47,270716.15,112331.8,137542.22,294.0,0.22,13.24,0.22,13.24,1.0,,,,,,,796888.92,-195623.91,-931797.08,601265.01,2.91,23,3,10,10,Xây dựng và Vật liệu,2300,2.37,-1.5,,2026-07-10 13:26
PDR,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,14.25,realtime,186500.0,123600.0,62900.0,0.6,14200.0,64000.0,14250.0,356900.0,14150.0,162200.0,14300.0,326600.0,14100.0,356400.0,14350.0,292700.0,12M,14.25,14.7,15.27,16.12,15.21,18.25,-3.73,-3.06,-21.92,31.93,-0.33,-0.01,-0.31,31.19,30.09,14.1,14.73,15.36,0.37,0.12,2.6,128591242.0,0.16,27.67,14.24,-2.97,-64.29,15.45,13.9,117283953.2,18.41,-348730.29,-68.18,0.78,4626300.0,5915070.0,27.2,13.7,-3.06,-4.36,2026-07-10,False,0,True,0.0,50.0,436365669.0,498904689.0,31.09,5.02,26.06,15.5,0.45,0.47,4.4,-1476070000.0,-784960000.0,11,9,20,Bán,Lê Thị Lĩnh Phúc,2026-Q1,33.78,1.48,2.58,2.08,556.52,12680.0,1.63,0.0,80.45,86.9,0.73,3.57,45.88,19926.8,4953.1,64922.87,112609.79,70.0,-0.95,0.28,-0.95,0.28,1.0,,,,,,,-2975418.12,1572252.06,1435414.1,-1403166.06,-5.78,-13,-5,-10,2,Bất động sản,8600,2.37,-1.5,-0.11,2026-07-10 13:26
HDC,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,14.65,realtime,83000.0,166200.0,-83200.0,0.33,14700.0,3000.0,14750.0,25500.0,14650.0,10400.0,14800.0,44500.0,14600.0,28200.0,14850.0,36500.0,12M,14.65,15.07,15.51,18.06,15.76,19.75,-2.84,-2.79,-25.82,36.89,-0.26,-0.04,-0.22,32.07,30.01,14.16,15.24,16.32,0.43,0.23,2.94,52447345.0,-0.22,26.58,14.46,-3.9,-71.43,16.65,14.0,-122589018.78,-4.83,-45869.96,-66.67,0.51,656900.0,1277762.0,32.84,14.0,-1.68,-4.81,2026-07-10,False,0,True,0.0,49.0,95829388.0,97879739.0,1.79,2.59,-0.8,-5.98,-0.25,0.37,0.15,2207000.0,2207000.0,2,0,2,Mua,Đoàn Hữu Thuận,2026-Q1,6.39,1.54,1.03,12.02,3549.69,14703.0,1.15,0.0,18.36,17.65,0.87,2.88,63.65,80226.38,10664.16,57868.64,67022.04,,-0.19,3.26,-0.19,3.26,1.0,,,,,,,-1016766.84,903414.21,601871.26,-113352.64,-1.59,2,10,-10,2,Bất động sản,8600,2.37,-1.5,,2026-07-10 13:26
SAB,GAINER,HSX,2026-07-10 13:25,2026-07-10,13:25,47.3,realtime,58700.0,48900.0,9800.0,0.55,47250.0,1300.0,47300.0,12300.0,47200.0,1100.0,47350.0,200.0,47150.0,1900.0,47400.0,3700.0,12M,47.3,47.78,47.58,22.89,46.16,46.71,0.42,-1.0,1.26,44.62,-0.12,-0.17,0.05,19.38,18.55,46.88,48.06,49.24,0.76,0.18,1.61,-2718998.0,-0.26,36.91,47.36,-2.31,-35.71,49.85,46.8,-46274019.56,-6.57,-62894.83,-76.74,0.32,185600.0,579005.0,57.1,42.05,-2.87,-2.67,2026-07-10,False,0,True,0.0,100.0,530446722.0,1282562372.0,38.58,50.92,-12.34,9.8,-0.33,0.42,-2.98,-1268680000.0,2903400000.0,2,18,20,Bán,nan,2026-Q1,14.21,2.73,4.47,13.74,3448.99,17933.0,0.68,6.0,37.94,16.37,2.26,186.93,12.39,6804334.32,2448065.39,1207496.67,1566161.28,913.0,0.17,0.52,0.17,0.52,1.0,,,,,,,3898884.56,2428266.89,-6787749.74,6327151.46,0.88,17,4,5,8,Thực phẩm và đồ uống,3500,2.37,-1.5,-0.01,2026-07-10 13:26
VIB,GAINER,HSX,2026-07-10 13:26,2026-07-10,13:25,16.15,realtime,179800.0,101300.0,78500.0,0.64,16100.0,345700.0,16150.0,280700.0,16050.0,412700.0,16200.0,184100.0,16000.0,895600.0,16250.0,247800.0,12M,16.15,16.23,16.19,19.75,15.73,17.01,0.25,-0.49,-5.06,48.25,0.03,-0.03,0.06,29.63,32.1,15.86,16.26,16.65,0.3,0.37,1.86,191164422.0,-0.18,54.53,16.3,-1.27,50.0,16.8,15.9,-273169440.48,-13.34,-126629.31,-72.22,0.18,1743300.0,9518170.0,23.51,14.74,0.0,0.0,2026-07-10,False,0,True,0.0,4.99,34500229.0,169859884.0,27.18,147.84,-124.25,-263.98,0.06,0.16,-10.96,-57549892000.0,-126343393000.0,4,1,5,Mua,nan,2026-Q1,7.65,1.29,3.58,1.37,2319.29,13779.28,0.92,4.0,,,,,,,,,,,,,,,,,,,,,,12935391.0,-225985.0,-2085210.0,12709406.0,,15,10,5,0,Ngân hàng,8300,2.37,-1.5,-1.31,2026-07-10 13:26
