symbol,group,exchange,time,date,snap_time,price,price_type,intra_buy_vol,intra_sell_vol,intra_delta,intra_buy_ratio,bid_price_1,bid_vol_1,ask_price_1,ask_vol_1,bid_price_2,bid_vol_2,ask_price_2,ask_vol_2,bid_price_3,bid_vol_3,ask_price_3,ask_vol_3,_ta_window,_last_close,ema20,ema50,adx,supertrend,ema200,ema_cross_pct,price_vs_ema20_pct,price_vs_ema200_pct,rsi,macd,macd_sig,macd_hist,stoch_k,stoch_d,bb_lower,bb_mid,bb_upper,atr,bb_position,atr_pct,obv,cmf,mfi,linreg_20,linreg_slope_pct,aroon_osc,donchian_upper_prev,donchian_lower_prev,ad_line,ad_slope_20d_pct,efi_13,willr_14,vol_ma_ratio,vol_today,vol_avg_20d,high_52w,low_52w,roc_10,return_20d,_cached_date,_ta_from_cache,_ta_stale_days,_should_cache,ff_room,ff_room_max_pct,ff_room_raw,ff_total_room_raw,ff_buy_val_5d,ff_sell_val_5d,ff_net_val_5d,ff_net_val_20d,ff_trend,ff_consistency,ff_acceleration,pt_net_val_5d,pt_net_val_20d,insider_buy_count,insider_sell_count,insider_count,insider_latest,insider_name,r_period,r_pe,r_pb,r_roe,r_roa,r_eps,r_bvps,r_beta,r_div_yield,r_gross_margin,r_net_margin,r_quick_ratio,r_interest_cov,r_ev_ebitda,is_revenue,is_gross_profit,is_net_profit,is_operating_profit,is_eps,is_rev_growth,is_profit_growth,is_rev_growth_yoy,is_profit_growth_yoy,eps_consistency,bs_total_assets,bs_equity,bs_total_liab,bs_short_debt,bs_long_debt,bs_debt_to_equity,cf_operating,cf_investing,cf_financing,cf_free,cf_quality_ratio,finance_score,finance_score_fund,finance_score_cf,finance_score_growth,industry,icb_code,vnindex_return_20d,vnindex_return_5d,pt_trend,updated_at
PNJ,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:25,47.15,realtime,138400.0,30900.0,107500.0,0.82,47100.0,7300.0,47250.0,10500.0,47050.0,8800.0,47300.0,56300.0,47000.0,19500.0,47350.0,2900.0,12M,47.15,58.8,63.45,35.2,56.32,64.11,-7.33,-19.81,-26.45,17.2,-4.15,-1.66,-2.5,13.54,11.22,48.33,61.29,74.26,2.49,0.0,5.28,35094819.0,0.38,17.11,51.67,-17.96,-92.86,68.5,47.25,68909546.15,42.7,-1579039.56,-96.73,2.84,6884200.0,2422915.0,84.67,46.5,-25.75,-23.95,2026-07-10,False,0,True,0.0,49.0,4733410.0,250826843.0,205.24,476.75,-263.24,-153.29,-4.67,0.42,-44.58,-10963730000.0,1874627000.0,2,1,3,Mua,Cao Ngọc Duy,2026-Q1,11.59,2.49,9.65,15.79,8368.83,38915.0,0.78,1.0,25.13,12.67,0.4,46.43,0.0,7582449.57,1633611.94,441636.51,552623.85,1204.0,-0.21,-0.35,-0.21,-0.35,-1.0,,,,,,,18890.4,-893788.03,272974.96,-874897.63,0.01,1,7,0,-6,Hàng cá nhân & Gia dụng,3700,2.37,-1.5,-0.38,2026-07-10 13:26
VIX,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:25,15.6,realtime,227700.0,98700.0,129000.0,0.7,15550.0,1070400.0,15600.0,95000.0,15500.0,2458400.0,15650.0,230300.0,15450.0,594500.0,15700.0,423100.0,12M,15.6,16.8,17.27,23.35,17.42,20.41,-2.72,-7.14,-23.57,30.59,-0.4,-0.11,-0.3,14.78,20.74,15.77,16.97,18.17,0.54,0.0,3.46,164806816.0,-0.36,32.74,16.08,-5.4,-92.86,18.2,15.9,-688027643.45,-46.2,-6823822.79,-95.24,0.98,29716100.0,30213400.0,34.16,13.26,-7.42,-8.5,2026-07-10,False,0,True,0.0,100.0,2268894083.0,2450287772.0,9.86,56.0,-46.13,-173.18,-0.52,0.26,-0.11,-79034000.0,-154474000.0,16,4,20,Mua,Cao Thị Hồng,2026-Q1,6.22,1.61,6.18,19.55,3619.17,14009.63,1.84,0.0,85.02,61.23,,,0.0,,1687525.65,,,,,,,,,,,,,,,-6969094.56,-162341.07,8487000.0,-7131435.63,,3,13,-10,0,Dịch vụ tài chính,8700,2.37,-1.5,0.03,2026-07-10 13:26
DCM,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:25,32.95,realtime,166600.0,41400.0,125200.0,0.8,32900.0,64000.0,32950.0,4600.0,32850.0,21900.0,33000.0,86500.0,32800.0,53000.0,33050.0,9300.0,12M,32.95,34.09,36.04,31.25,35.17,36.13,-5.41,-3.34,-8.8,38.67,-0.91,0.2,-1.11,51.79,48.85,32.3,33.78,35.26,0.91,0.22,2.76,68364581.0,-0.43,31.46,33.03,0.34,-71.43,36.21,32.29,-73089885.29,-43.4,-32368.83,-75.0,0.6,1563300.0,2591572.0,50.01,29.5,0.3,-8.75,2026-07-10,False,0,True,0.0,49.0,223744245.0,259406000.0,40.13,132.39,-92.27,-440.82,1.73,0.16,4.75,1107440000.0,1370095000.0,8,12,20,Bán,Nguyễn Đức Hạnh,2026-Q1,8.95,1.61,3.66,11.18,3652.8,20288.0,1.03,6.0,27.65,8.6,1.61,25.34,20.07,6037272.33,1201910.44,804673.61,892089.14,1474.0,0.77,0.96,0.77,0.96,1.0,,,,,,,-775841.65,2590122.24,-127406.11,1814280.59,-0.4,10,10,-10,10,Hóa chất,1300,2.37,-1.5,-0.01,2026-07-10 13:26
PVT,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:25,19.0,realtime,71500.0,183100.0,-111600.0,0.28,18950.0,20500.0,19000.0,19100.0,18900.0,63300.0,19050.0,5600.0,18850.0,7900.0,19100.0,5500.0,12M,19.0,19.68,19.98,11.74,20.85,18.79,-1.5,-3.46,1.12,40.1,-0.24,-0.06,-0.17,35.29,32.21,18.87,19.73,20.59,0.65,0.08,3.42,5739347.0,-0.15,44.41,19.45,-2.77,-78.57,20.8,18.5,-183874049.32,-4.7,-283676.39,-76.74,0.37,1047500.0,2823457.0,29.73,14.95,-2.81,-3.31,2026-07-10,False,0,True,0.0,49.0,170892214.0,230266305.0,32.23,67.81,-35.58,-57.32,0.1,0.42,-4.1,-786720000.0,58707990000.0,1,1,2,Mua,Nguyễn Thanh Hà,2026-Q1,7.24,0.75,2.35,4.95,2541.12,24452.0,0.9,0.0,14.96,7.7,1.76,4.81,6.3,4351967.76,598847.33,293686.73,423354.33,625.0,0.56,0.37,0.56,0.37,1.0,,,,,,,3161225.06,-3123382.08,701466.1,37842.98,3.05,32,12,10,10,Hàng & Dịch vụ Công nghiệp,2700,2.37,-1.5,-0.6,2026-07-10 13:26
BSI,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:26,35.0,realtime,29700.0,60900.0,-31200.0,0.33,35000.0,600.0,35200.0,5500.0,34950.0,2700.0,35250.0,800.0,34900.0,5900.0,35300.0,1600.0,12M,35.0,34.9,33.76,27.86,33.17,36.16,3.38,0.29,-3.21,53.12,0.95,-0.04,0.98,58.85,67.08,32.66,35.05,37.44,1.28,0.49,3.66,11956271.0,-0.04,69.36,36.49,-1.21,50.0,37.4,30.0,-19038537.82,-3.93,-14177.42,-59.26,0.91,771600.0,843765.0,53.0,28.95,2.19,15.63,2026-07-10,False,0,True,0.0,100.0,173778036.0,269901549.0,12.22,9.84,2.38,3.1,0.01,0.47,0.31,1286565000.0,1286565000.0,3,6,9,Mua,nan,2026-Q1,17.84,1.67,1.73,3.23,2108.17,22528.63,1.36,0.0,56.01,16.81,,,0.0,,262408.39,,,,,,,,,,,,,,,-4249312.49,2339.39,5026644.95,-4246973.1,,-7,3,-10,0,Dịch vụ tài chính,8700,2.37,-1.5,,2026-07-10 13:26
BSR,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:26,25.8,realtime,113600.0,143900.0,-30300.0,0.44,25800.0,34700.0,25850.0,69400.0,25750.0,99500.0,25900.0,122600.0,25700.0,460700.0,25950.0,61200.0,12M,25.8,25.59,26.47,21.33,26.81,22.56,-3.32,0.82,14.36,49.41,-0.62,0.2,-0.81,69.99,49.44,23.44,25.33,27.22,1.09,0.62,4.22,661462203.0,-0.31,34.08,24.51,2.25,-78.57,28.6,23.35,-233983772.27,-32.81,3288699.02,-25.76,0.47,4498100.0,9550050.0,39.6,11.39,6.39,-8.19,2026-07-10,False,0,True,0.0,49.0,2397770370.0,2453576846.0,159.0,103.39,55.61,-480.12,4.58,0.26,36.39,17989565000.0,37099850000.0,1,1,2,Mua,Bùi Minh Tiến,2026-Q1,10.46,1.33,5.15,6.29,1539.15,12079.0,0.58,0.0,9.68,8.07,2.43,47.36,0.0,36772242.59,1030364.59,845889.01,973650.14,273.0,0.15,1.12,0.15,1.12,1.0,,,,,,,5258073.73,-21662245.61,-5354473.58,-16404171.87,1.01,28,10,10,8,Dầu khí,0500,2.37,-1.5,0.15,2026-07-10 13:26
PC1,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:26,21.4,realtime,21700.0,87900.0,-66200.0,0.2,21400.0,34100.0,21450.0,12400.0,21350.0,43900.0,21500.0,4300.0,21300.0,33100.0,21550.0,5800.0,12M,21.4,21.44,21.43,23.8,20.02,22.3,0.05,-0.19,-4.04,50.71,0.37,-0.06,0.43,49.72,49.6,19.76,21.57,23.39,0.93,0.45,4.35,95167494.0,0.36,55.16,22.31,-2.84,-35.71,23.3,19.3,-92813782.98,27.36,266118.08,-64.41,0.11,539000.0,4945655.0,32.2,16.65,-0.47,9.46,2026-07-10,False,0,True,0.0,50.0,170020782.0,205642671.0,24.52,38.33,-13.81,-65.58,-0.55,0.37,0.69,11683040000.0,-6082215000.0,6,0,6,Mua,nan,2026-Q1,7.79,1.04,6.41,4.55,2894.98,21612.0,0.82,0.0,21.27,13.18,1.27,5.38,11.24,2934930.77,509592.23,138315.79,196780.97,,0.58,1.5,0.58,1.5,1.0,,,,,,,2272718.21,-1474000.7,728904.0,798717.51,2.18,33,13,10,10,Xây dựng và Vật liệu,2300,2.37,-1.5,0.31,2026-07-10 13:26
VRE,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:26,26.3,realtime,18900.0,89500.0,-70600.0,0.17,26300.0,64800.0,26350.0,72400.0,26250.0,39100.0,26400.0,32400.0,26200.0,43900.0,26450.0,10100.0,12M,26.3,28.05,28.76,25.57,29.41,29.79,-2.47,-6.24,-11.72,34.78,-0.68,-0.14,-0.53,2.4,6.74,26.4,28.09,29.77,0.97,0.0,3.69,69747806.0,-0.17,24.67,27.42,-4.03,-100.0,30.33,26.61,139625808.25,-11.22,-652080.18,-100.0,0.47,2434100.0,5227282.0,43.65,22.7,-9.22,-4.78,2026-07-10,False,0,True,0.0,49.0,863241149.0,1141121020.0,51.5,100.04,-48.54,-195.0,0.88,0.26,0.56,-34537743000.0,-45716768000.0,9,11,20,Bán,,2026-Q1,11.86,1.58,5.65,10.89,2836.72,21286.0,1.59,0.0,52.35,114.99,1.49,19.02,0.0,2142630.0,1182311.0,1233261.0,1428329.0,,0.01,0.05,0.01,0.05,1.0,,,,,,,-3262205.0,3007764.0,1804378.0,-254441.0,-0.51,2,10,-10,2,Bất động sản,8600,2.37,-1.5,-0.54,2026-07-10 13:26
ANV,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:26,19.6,realtime,30200.0,128400.0,-98200.0,0.19,19600.0,19100.0,19650.0,5100.0,19550.0,35200.0,19700.0,1900.0,19500.0,33400.0,19750.0,6600.0,12M,19.6,20.87,21.74,26.07,21.77,24.61,-4.0,-6.09,-20.36,33.59,-0.48,-0.15,-0.32,4.23,3.88,19.58,21.1,22.62,0.61,0.01,3.11,26006675.0,-0.27,29.02,20.34,-6.74,-78.57,23.2,19.65,-46237720.37,-7.86,-118701.35,-100.0,0.45,285800.0,632710.0,33.4,19.6,-10.71,-3.92,2026-07-10,False,0,True,0.0,49.0,122430096.0,130667075.0,1.3,15.9,-14.6,-37.14,-0.15,0.11,-0.97,-641750000.0,-1870725000.0,3,17,20,Mua,Doãn Chí Thiên,2026-Q1,6.85,1.94,7.12,18.74,3753.83,13246.0,1.22,4.0,20.08,11.87,0.92,17.39,0.0,1726231.66,486365.58,332812.89,368773.66,1250.0,0.56,1.52,0.56,1.52,1.0,,,,,,,997997.13,-797009.36,-375253.85,200987.77,1.0,28,13,5,10,Thực phẩm và đồ uống,3500,2.37,-1.5,-0.02,2026-07-10 13:26
SJS,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:26,47.0,realtime,0.0,100.0,-100.0,0.0,46200.0,500.0,47000.0,200.0,45800.0,100.0,47600.0,1000.0,45700.0,100.0,47650.0,1000.0,12M,47.0,48.36,50.08,43.06,50.66,56.11,-3.43,-2.81,-16.24,28.96,-0.89,0.13,-1.02,62.47,63.89,46.94,48.15,49.36,1.25,0.02,2.66,187058.0,0.18,43.9,47.37,-0.66,-64.29,49.8,44.5,1506308.09,3.97,-543.16,-47.37,0.01,100.0,16870.0,84.8,40.93,-2.08,-4.08,2026-07-10,False,0,True,0.0,50.0,147059433.0,148737414.0,0.04,0.76,-0.73,-0.92,-0.01,0.37,-0.1,,,0,1,1,Bán,nan,2026-Q1,38.28,6.15,3.91,3.73,1614.43,10054.0,0.49,0.0,63.71,43.9,0.41,0.0,115.56,193868.97,142139.88,103558.1,130089.84,909.0,0.35,0.54,0.35,0.54,1.0,,,,,,,-74242.93,75304.87,-20965.22,1061.93,-0.21,-11,-11,-10,10,Bất động sản,8600,2.37,-1.5,,2026-07-10 13:26
CMG,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:26,26.65,realtime,29100.0,59200.0,-30100.0,0.33,26650.0,2400.0,26750.0,2200.0,26600.0,10400.0,26800.0,1300.0,26550.0,25000.0,26900.0,300.0,12M,26.65,27.24,27.76,8.73,28.11,31.64,-1.87,-2.17,-15.77,37.16,-0.2,-0.02,-0.18,26.65,29.49,26.69,27.28,27.87,0.49,0.0,1.84,2698087.0,0.22,27.76,26.92,-1.02,-100.0,28.0,26.8,-26302364.15,2.85,-9678.22,-86.36,0.78,134000.0,172520.0,42.73,26.5,-1.84,-2.02,2026-07-10,False,0,True,0.0,50.0,31326315.0,116477304.0,1.43,0.85,0.57,-5.46,0.0,0.26,0.4,1707615000.0,1707615000.0,0,1,1,Bán,Nguyễn Mỹ Hương,2025-Q4,18.76,1.84,2.68,4.31,1897.58,19347.0,1.06,0.0,17.88,4.57,1.41,6.52,20.01,2210099.35,390703.34,94150.92,135818.73,445.0,-0.09,0.08,,,,,,,,,,592675.93,-2626575.58,1822048.55,-2033899.65,1.44,13,3,10,0,Công nghệ Thông tin,9500,2.37,-1.5,,2026-07-10 13:26
DPM,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:26,23.5,realtime,227500.0,156700.0,70800.0,0.59,23450.0,59500.0,23500.0,17100.0,23400.0,159900.0,23550.0,15400.0,23350.0,109800.0,23600.0,36000.0,12M,23.5,23.5,24.62,31.87,22.46,25.18,-4.55,0.0,-6.67,46.86,-0.42,0.21,-0.63,75.0,62.17,22.29,23.23,24.16,0.57,0.65,2.43,23825738.0,-0.26,53.99,23.05,1.94,21.43,24.55,22.15,-225422574.31,-8.51,1592695.24,-43.75,0.49,1652500.0,3342575.0,35.8,21.55,3.75,-2.89,2026-07-10,False,0,True,0.0,50.0,314903789.0,339995380.0,52.25,55.37,-3.12,-111.58,1.16,0.32,5.25,2460730000.0,2068930000.0,9,11,20,Mua,,2026-Q1,10.03,1.31,2.01,5.92,2218.26,16962.0,0.98,7.0,19.58,6.82,1.84,5.97,0.0,5301128.85,896891.23,402903.38,500486.68,888.0,0.29,0.97,0.29,0.97,1.0,,,,,,,-1781033.03,1802349.66,141981.38,21316.63,-1.66,7,7,-10,10,Hóa chất,1300,2.37,-1.5,0.09,2026-07-10 13:26
FTS,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:26,27.35,realtime,130900.0,65300.0,65600.0,0.67,27250.0,7600.0,27350.0,9100.0,27200.0,6300.0,27400.0,1000.0,27150.0,8000.0,27450.0,3800.0,12M,27.35,26.7,25.71,21.52,25.09,28.28,3.85,2.43,-3.29,57.93,0.83,0.0,0.82,68.36,74.27,24.9,26.86,28.81,1.04,0.63,3.8,-23552034.0,0.11,59.26,27.95,-0.91,78.57,28.5,23.0,-112520454.48,4.13,276473.96,-38.98,0.39,832900.0,2112160.0,40.22,21.36,3.6,18.91,2026-07-10,False,0,True,0.0,100.0,286854264.0,381145750.0,9.83,15.6,-5.77,-6.7,-0.31,0.42,-0.8,337995000.0,633380000.0,5,15,20,Bán,Nguyễn Thị Thu Hương,2026-Q1,27.12,2.58,2.94,3.2,1215.12,12756.11,1.39,2.0,50.34,34.59,,,0.0,,102235.44,,,,,,,,,,,,,,,-876034.91,-5653.2,3229754.41,-881688.11,,-18,-8,-10,0,Dịch vụ tài chính,8700,2.37,-1.5,-0.0,2026-07-10 13:26
VCG,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:26,20.45,realtime,71000.0,344300.0,-273300.0,0.17,20450.0,1200.0,20500.0,53100.0,20400.0,78800.0,20550.0,41500.0,20350.0,153300.0,20600.0,30200.0,12M,20.45,20.4,20.6,20.27,19.97,22.51,-0.97,0.25,-9.15,50.66,0.07,0.07,-0.0,49.63,46.67,19.26,20.26,21.26,0.52,0.6,2.54,68123500.0,-0.16,70.2,20.77,0.27,42.86,21.75,19.4,-427544136.5,-2.65,402987.81,-57.78,0.53,1817100.0,3455515.0,29.1,18.1,4.34,4.34,2026-07-10,False,0,True,0.0,49.0,302066125.0,316769484.0,58.96,22.53,36.43,61.88,0.57,0.68,4.03,25407900000.0,37517629000.0,9,11,20,Bán,nan,2026-Q1,3.53,1.17,1.96,13.33,6405.89,19320.0,0.86,4.0,11.58,7.46,1.13,5.5,18.85,4412099.42,561172.29,308711.28,405422.63,516.0,0.7,1.41,0.7,1.41,1.0,,,,,,,2838642.39,-2710012.4,-269160.84,128629.98,0.77,25,10,5,10,Xây dựng và Vật liệu,2300,2.37,-1.5,0.21,2026-07-10 13:26
GAS,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:26,75.9,realtime,20000.0,70200.0,-50200.0,0.22,75900.0,2500.0,76000.0,13700.0,75800.0,37000.0,76200.0,5000.0,75700.0,14900.0,76300.0,200.0,12M,75.9,77.84,80.47,15.02,81.62,77.74,-3.27,-2.49,-2.37,41.78,-1.86,-0.15,-1.72,30.76,22.04,72.85,78.19,83.54,2.61,0.29,3.44,31495990.0,-0.34,26.69,74.21,-2.65,-71.43,87.1,73.0,-35123342.35,-26.15,44801.67,-68.13,0.23,262500.0,1147355.0,131.5,56.0,-1.43,-10.81,2026-07-10,False,0,True,0.0,49.0,1133184529.0,1182345380.0,94.58,95.51,-0.93,-57.42,0.06,0.37,2.84,11497989000.0,47983179000.0,3,17,20,Bán,Trịnh Văn Bộ,2026-Q1,14.98,2.58,2.03,12.75,4832.77,28038.0,0.61,3.0,8.68,3.18,3.19,33.13,39.19,30080421.25,4953952.87,4747605.08,5978744.15,1985.0,0.17,0.72,0.17,0.72,1.0,,,,,,,13040237.87,-6468619.5,-5264541.76,6571618.37,1.14,22,4,10,8,"Điện, nước & xăng dầu khí đốt",7500,2.37,-1.5,0.09,2026-07-10 13:26
VGC,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:26,42.05,realtime,9900.0,56000.0,-46100.0,0.15,42050.0,4500.0,42200.0,2400.0,42000.0,7500.0,42300.0,19200.0,41950.0,9100.0,42500.0,100.0,12M,42.05,42.95,43.34,19.4,41.33,46.5,-0.9,-2.1,-9.57,42.75,-0.07,-0.07,0.01,47.62,51.77,41.75,43.13,44.51,1.08,0.11,2.57,15734446.0,0.41,41.0,42.87,-2.31,-28.57,45.0,40.45,-31082779.32,8.21,4484.47,-64.84,0.19,67000.0,344190.0,65.74,39.25,-0.83,0.36,2026-07-10,False,0,True,0.0,49.0,215459700.0,219691500.0,4.22,8.12,-3.91,-2.56,-0.2,0.53,-0.65,36069325000.0,42462275000.0,4,16,20,Mua,Hoàng Thanh Nam,2026-Q1,13.37,1.63,4.92,5.53,3130.03,25738.0,1.06,5.0,33.03,16.06,0.76,15.19,7.97,3240085.36,1147343.11,438322.92,700489.78,,0.14,0.37,0.14,0.37,1.0,,,,,,,3339074.76,-4594423.59,816696.39,-1255348.82,2.38,25,7,10,8,Xây dựng và Vật liệu,2300,2.37,-1.5,1.15,2026-07-10 13:26
VCI,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:26,24.75,realtime,100200.0,184100.0,-83900.0,0.35,24750.0,61100.0,24800.0,90200.0,24700.0,124100.0,24850.0,90100.0,24650.0,140500.0,24900.0,49100.0,12M,24.75,24.7,24.98,15.73,23.3,26.86,-1.12,0.2,-7.86,50.41,0.07,0.1,-0.03,57.02,59.67,23.93,24.65,25.37,0.66,0.57,2.67,-23831478.0,-0.19,60.26,24.88,-0.09,57.14,25.9,23.4,-507590185.37,-5.24,675657.54,-60.53,0.5,3465100.0,6878095.0,35.84,23.15,2.91,4.87,2026-07-10,False,0,True,0.0,100.0,939732387.0,1147631925.0,66.8,43.73,23.08,-59.9,0.65,0.47,7.77,10987630000.0,48723070000.0,6,2,8,Mua,Bùi Vũ Hoàng Tuyên,2026-Q1,18.96,1.67,2.89,4.82,1862.23,21185.62,1.17,1.0,59.42,29.02,,,0.0,,387416.84,,,,,,,,,,,,,,,-8790735.98,-57062.67,7317720.3,-8847798.65,,-7,3,-10,0,Dịch vụ tài chính,8700,2.37,-1.5,0.34,2026-07-10 13:26
TCB,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:26,32.75,realtime,72300.0,241300.0,-169000.0,0.23,32700.0,220900.0,32750.0,263500.0,32650.0,403700.0,32800.0,203500.0,32600.0,415400.0,32850.0,228900.0,12M,32.75,32.98,32.53,24.25,32.07,33.6,1.38,-0.7,-2.53,49.28,0.4,-0.01,0.4,62.15,70.87,30.61,32.78,34.95,0.66,0.49,2.02,118998427.0,-0.05,70.43,34.14,0.58,57.14,34.6,30.9,-354262861.42,-3.57,37886.53,-51.39,0.65,8324700.0,12828595.0,41.13,27.77,-1.95,4.8,2026-07-10,False,0,True,0.0,22.54,70436637.0,1597139381.0,169.19,450.97,-281.79,-1352.68,3.96,0.11,14.84,955511557000.0,1143022423000.0,14,6,20,Mua,Nguyễn Thu Lan,2026-Q1,9.76,1.38,3.72,2.33,3575.81,25330.98,1.2,3.0,,,,,,,,,,,,,,,,,,,,,,39923618.0,-816440.0,5235750.0,39107178.0,,15,10,5,0,Ngân hàng,8300,2.37,-1.5,14.51,2026-07-10 13:26
CTR,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:26,74.0,realtime,8700.0,35700.0,-27000.0,0.2,73900.0,1100.0,74000.0,2800.0,73800.0,3200.0,74100.0,7000.0,73700.0,700.0,74200.0,2100.0,12M,74.0,74.94,75.77,15.07,78.73,77.3,-1.1,-1.25,-4.27,43.83,-0.6,0.09,-0.69,68.13,60.35,72.77,74.53,76.29,1.61,0.35,2.18,-7072921.0,-0.31,46.37,74.2,0.66,-28.57,78.07,71.93,-14290517.01,-13.69,-7902.77,-47.59,0.16,44900.0,287477.0,99.12,66.23,-0.16,-3.92,2026-07-10,False,0,True,0.0,49.0,51078532.0,56049080.0,15.42,13.85,1.57,-62.97,0.67,0.26,3.63,3282110000.0,4121110000.0,18,2,20,Bán,Đoàn Hồng Việt,2026-Q1,16.27,4.72,7.76,7.62,5241.85,18086.0,1.02,3.0,7.46,4.1,1.11,8.66,0.0,3235913.72,234117.89,144983.99,179644.6,1267.0,0.18,0.19,0.18,0.19,1.0,,,,,,,1455415.54,-1030982.85,394181.45,424432.68,2.43,16,0,10,6,Xây dựng và Vật liệu,2300,2.37,-1.5,0.03,2026-07-10 13:26
PVD,LOSER,HSX,2026-07-10 13:26,2026-07-10,13:26,32.9,realtime,38600.0,88000.0,-49400.0,0.3,32900.0,10200.0,32950.0,19000.0,32850.0,28100.0,33000.0,62500.0,32800.0,33200.0,33050.0,14600.0,12M,32.9,32.1,31.95,20.41,30.25,28.87,0.47,2.49,13.96,56.28,0.46,0.13,0.33,71.67,67.41,29.65,31.86,34.06,1.02,0.74,3.1,215093953.0,0.02,66.46,33.37,1.27,85.71,33.8,28.8,-59626809.52,2.11,924868.15,-30.0,0.61,1948200.0,3170100.0,45.5,18.8,4.11,9.67,2026-07-10,False,0,True,0.0,50.0,223516945.0,278148003.0,69.34,48.84,20.49,217.72,-0.49,0.79,-7.36,5088815000.0,3304590000.0,0,1,1,Bán,nan,2026-Q1,15.28,0.92,2.11,3.99,1855.36,30756.0,1.09,2.0,15.42,8.69,1.25,12.0,13.27,2430063.7,518890.64,239502.44,276005.84,362.0,0.62,0.57,0.62,0.57,1.0,,,,,,,1432040.0,-2868617.49,979841.84,-1436577.49,1.38,25,5,10,10,Dầu khí,0500,2.37,-1.5,-0.02,2026-07-10 13:26
